collection||Hisn al-Muslim
hadith|85|<text>Allāhumma `ālima ‘l-ghaybi wash-shahādah fātir as-samāwāti wa ‘l'arḍ, Rabba kulli shay'in wa malīkah, ash-hadu an lā ilāha illā ant, a`ūdhu bika min sharri nafsī, wa min sharrish-shayṭāni wa shirkih, wa an aqtarifa `alā nafsī sū'an, aw ajurrahu ilā Muslim.\n\nO Allah, Knower of the unseen and the evident, Maker of the heavens and the earth, Lord of everything and its Possessor, I bear witness that there is none worthy of worship but You. I seek refuge in You from the evil of my soul, and from the evil of Satan and his helpers. (I seek refuge in You) from bringing evil upon my soul and from harming any Muslim.\n\nReference:\n\nSahih At-Tirmidhi 3/142 and AbuDawud.</text>
hadith|86|<text>Bismillāhi ‘l-ladhī lā yaḍurru ma`a-smihi shay'un fil-'arḍi wa lā fis-samā' wa huwas-Samī `ul-`Alīm.\n\nIn the Name of Allah, Who with His Name nothing can cause harm in the earth nor in the heavens, and He is the All-Hearing, the All-Knowing. (Recite three times in Arabic).\n\nReference:\n\n"Whoever recites it three times in the morning will not be afflicted by any calamity before evening, and whoever recites it three times in the evening will not be overtaken by any calamity before morning." Abu Dawud 4/323, At-Tirmidhi 5/465, Ibn Majah 2/332, Ahmad. Ibn Majah's chain of transmission is good (Hasan), Ibn Baz, p. 39.</text>
hadith|87|<text>Raḍītu billāhi Rabba, wa bil-Islāmi dīna, wa bi-Muḥammadin (ṣallallāhu `alayhi wa sallama) nabiyya.\n\nI am pleased with Allah as my Lord, with Islam as my religion, and with Muhammad (peace and blessings of Allah be upon him) as my Prophet. (Recite three times in Arabic.)\n\nReference:\n\n"Allah has promised that anyone who says this three times every morning or evening will be pleased on the Day of Resurrection." Ahmad 4/ 337, An-Nasa'i, 'Amalul-Yawm wal-Laylah p. 4, Ibn As-Sunni (no. 68), At-Tirmidhi 5/465. Its chain of transmission is good (Hasan), Ibn Baz, p. 39.</text>
hadith|88|<text>Yā Ḥayyu yā Qayyūmu biraḥmatika astaghīth aṣlih lī sha'nī kullah wa lā takilnī ilā nafsī ṭarfata `ayn.\n\nO Ever-Living One, O Eternal One, by Your mercy I call on You to set right all my affairs. Do not place me in charge of my soul even for the blinking of an eye (i.e. a moment).\n\nReference:\n\nIts chain of transmission is sound (Sahih), Al-Hakim 1/545, see Albani, Sahihut-Targhib wat-Tarhib, 1/273.</text>
hadith|89|<text>Aṣbaḥnā wa aṣbaḥal-mulku lillāhi Rabbi ‘l-a`lāmīn, Allāhumma innī as'aluka khayra hādha ‘l-yawm: Fat’ḥahu wa naṣrahu wa nūrahu, wa barakatahu, wa hudāh, wa a`ūdhu bika min sharri mā fīhi wa sharri mā ba`dah.\n\nWe have entered a new day and with it all the dominion which belongs to Allah, Lord of all that exists. O Allah, I ask You for the goodness of this day,2 its victory, its help, its light, its blessings, and its guidance. I seek refuge in You from the evil that is in it, and from the evil that follows it.\n\nReference:\n\n1 For evening recitation, say here: Allāhumma innī as'aluka khayra hāthihil-laylah: "My Lord, I ask You for the good things of this night." 2 Abu Dawud 4/322. Its transmission chain is good (Hasan). See also Ibn Al-Qayyim, Zadul- Ma'ad 2/273.</text>
hadith|90|<text>Aṣbahnā `alā fiṭrati ‘l-Islām, wa `alā kalimati ‘l-ikhlās, wa `alā dīni nabiyyinā Muḥammadin (ṣallallāhu `alayhi wa sallam), wa `alā millati abīnā Ibrāhīm, ḥanīfan Musliman wa mā kāna mina ‘l-mushrikīn.\n\nWe have entered a new day 1 upon the natural religion of Islam, the word of sincere devotion, the religion of our Prophet (ﷺ) Muhammad (peace and blessings of Allah be upon him), and the faith of our father Ibrahim. He was upright (in worshipping Allah), and a Muslim. He was not of those who worship others besides Allah. 2\n\nReference:\n\n1 When you say this in the evening, you should say: 'Amsaynā `alā fiṭratil-Islām...: "We end this day..." 2 Ahmad 3/406-7, 5/123, An-Nasa'i, 'Amalul- Yawm wal-Laylah (no. 34), At-Tirmidhi 4/209.</text>
hadith|91|<text>Subḥānallāhi wa biḥamdih.\n\nGlory is to Allah and praise is to Him. (Recite one hundred times in Arabic).\n\nReference:\n\n"Whoever recites this one hundred times in the morning and in the evening will not be surpassed on the Day of Resurrection by anyone having done better than this except for someone who had recited it more. " Al-Bukhari 4/2071.</text>
hadith|92|<text>Lā ilāha illallāhu waḥdahu lā sharīka lah, lahu ‘l-mulku walahu ‘l-ḥamd, wa huwa `alā kulli shay'in qadīr.\n\nNone has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise and He is Able to do all things. (Recite ten times 1 in Arabic or one time to ward off laziness.) 2\n\nReference:\n\n1Allah will write ten Hasanaat (rewards) for whoever recites this ten times in the morning, and forgive him ten misdeeds and give him the reward of freeing ten slaves and protect him from Satan. Whoever recites this ten times in the evening will get this same reward. An-Nasa'i, 'Amalul-Yawm wal-Laylah (no. 24). Its chain of transmission is sound (Sahih). Albani 1/272. Abu Hurayrah «fe narrated that the Prophet (ﷺ) j§ said: "Allah will write one hundred Hasanat for whoever says There is no God but Allah alone, He has no partner. To Allah is possession of everything, and to Him all praise is. He is Capable of all things' ten times in the morning, and forgive him one hundred misdeeds. He will have the reward of freeing a slave and will be protected from Satan throughout the day unto dusk. Whoever says it in the evening will have the same reward." Ahmad 8/704, 16/293. Its chain of transmission is good (Hasan), Ibn Baz, p. 44. 2 Whoever recites this in the morning, will have the reward of freeing a slave from the Children of Isma'il. Ten Hasanaat (rewards) will be written for him, and he will be forgiven ten misdeeds, raised up ten degrees, and be protected from Satan until evening. Whoever says it in the evening will have the same reward until morning. Abu Dawud 4/319, 3/957, Ahmad 4/ 60, Ibn Majah 2/331, Ibn Al-Qayyim Zadul-Ma'ad 2/388. Its chain of transmission is sound (Sahih). Al-Albani 1/270.</text>
hadith|93|<text>Lā ilāha illallāhu waḥdahu lā sharīka lah, lahu ‘l-mulku walahu ‘l-ḥamd, wa huwa `alā kulli shay'in qadīr.\n\nNone has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise and He is Able to do all things. (Recite 100 times in Arabic upon rising in the morning).\n\nReference:\n\nWhoever recites this one hundred times a day will have the reward of freeing ten slaves. One hundred Hasanaat (rewards) will be written for him and one hundred misdeeds will be washed away. He will be shielded from Satan until the evening. No one will be able to present anything better than this except for someone who has recited more than this. Al-Bukhari 4/95, Muslim 4/2071.</text>
hadith|94|<text>Subḥānallāhi wa biḥamdih: `adada khalqih, wa riḍā nafsih, wa zinata `arshih, wa midāda kalimātih.\n\nGlory is to Allah and praise is to Him, by the multitude of His creation, by His Pleasure, by the weight of His Throne, and by the extent of His Words. (Recite three times in Arabic upon rising in the morning.)\n\nReference:\n\nMuslim 4/2090.</text>
hadith|95|<text>Allāhumma innī as'aluka `ilman nāfi`a, wa rizqan ṭayyiba, wa `amalan mutaqabbala.\n\nO Allah, I ask You for knowledge that is of benefit, a good provision, and deeds that will be accepted. (Recite in Arabic upon rising in the morning.)\n\nReference:\n\nIbn As-Sunni, no. 54, Ibn Majah no. 925. Its chain of transmission is good (Hasan), Ibn Al-Qayyim 2/375.</text>
hadith|96|<text>Astaghfirullāha wa atūbu ilayh.\n\nI seek the forgiveness of Allah and repent to Him. (Recite one hundred times in Arabic during the day.)\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/101, Muslim 4/2075.</text>
hadith|97|<text>A`ūdhu bikalimāti-llāhit-tāmmāti min sharri mā khalaq.\n\nI seek refuge in the Perfect Words of Allah from the evil of what He has created. (Recite three times in Arabic in the evening.)\n\nReference:\n\nWhoever recites this three times in the evening will be protected from insect stings, Ahmad 2/ 290, An-Nasa'i, 'Amalul-Yawm wal-Laylah no. 590, At-Tirmidhi 3/187, Ibn As-Sunni no. 68. According to Al-Albani, Ibn Majah's (2/266) chain of transmission is sound (Sahih), and following Ibn Baz 45, At-Tirmidhi's report is good (Hasan).</text>
hadith|98|<text>Allāhumma ṣalli wa sallim `alā nabiyyinā Muḥammad.\n\nO Allah, we ask for your peace and blessings upon our Prophet (ﷺ) Muhammad. (Recite ten times in Arabic.)\n\nReference:\n\nThe Prophet (ﷺ) said: "Who recites blessings upon me ten times in the morning and ten times in the evening will obtain my intercession on the Day of Resurrection." At-Tabarani reported this Hadith together with two chains of transmission. One of them is reliable (Jayyid). See Haythami's Majma'uz-Zawa'id 10/120, and Al-Albani's Sahihut-Targhib wat-Tarhib 1/273.</text>
chapter||Before sleeping
hadith|99|<text>Bismillāhir-Raḥmānir-Raḥīm. Qul huwallāhu aḥad. Allāhuṣ-ṣamad. Lam yalid wa lam yūlad. Wa lam yakun lahu kufuwan aḥad. Reference: Al-Ikhlas 112:1-4. Bismillāhir-Raḥmānir-Raḥīm. Qul a`ūdhu birabbil-falaq. Min sharri mā khalaq. Wa min sharri ghāsiqin idhā waqab. Wa min sharrin-naffāthāti fil-`uqad. Wa min sharri ḥāsidin idhā ḥasad. Reference: Al-Falaq 113:1-5. Bismillāhir-Raḥmānir-Raḥīm. Qul a`ūdhu birabbin-nās. Malikin-nās. 'Ilāhin-nās. Min sharri ‘l-waswāsil-khannās. Alladhī yuwaswisu fī ṣudūrin-nās. Minal-jinnati wannās. Reference: An-Nas 114:1-6\n\nHold the palms together, blow (with a little spittle) into them, and recite: "With the Name of Allah, the Most Gracious, the Most Merciful. Say: He is Allah (the) One. The Self-Sufficient Master, Whom all creatures need, He begets not nor was He begotten, and there is none equal to Him. With the Name of Allah, the Most Gracious, the Most Merciful. Say: I seek refuge with (Allah) the Lord of the daybreak, from the evil of what He has created, and from the evil of the darkening (night) as it comes with its darkness, and from the evil of those who practice witchcraft when they blow in the knots, and from the evil of the envier when he envies. With the Name of Allah, the Most Gracious, the Most Merciful. Say: I seek refuge with (Allah) the Lord of mankind, the King of mankind, the God of mankind, from the evil of the whisperer who withdraws, who whispers in the breasts of mankind, of jinns and men." (Then pass your hands over as much of your body as you can reach, beginning with the head and the face, then the entire front of your body. Do this three times.)\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 9/62, and Muslim 4/ 1723.</text>
hadith|100|<text>Allāhu lā ilāha illā huwa ‘l-Ḥayyul-Qayyūm, lā ta'khudhuhu sinatun wa lā nawm, lahu mā fis-samāwāti wa māfil-ardh, man dhal-ladhī yashfa`u `indahu illā bi'idhnih, ya`lamu mā bayna aydīhim wa mā khalfahum, wa lā yuḥītūna bishay'im-min `ilmihi illā bimā shā', wasi`a kursiyyuhus-samāwāti wal-ardh, wa lā ya'ūduhu hifẓuhumā, wa huwal-`Aliyyu‘l-`Aẓīm.\n\nAllah! There is none worthy of worship but He, the Ever-Living, the One Who sustains and protects all that exists. Neither slumber nor sleep overtakes Him. To Him belongs whatever is in the heavens and whatever is on the earth. Who is he that can intercede with Him except with His Permission? He knows what happens to them in this world, and what will happen to them in the Hereafter. And they will never encompass anything of His Knowledge except that which He wills. His Throne extends over the heavens and the earth, and He feels no fatigue in guarding and preserving them. And He is the Most High, the Most Great.\n\nReference:\n\nAl-Baqarah 2:255. Whoever reads this when he lies down to sleep will have a guardian from Allah remain with him and Satan will not be able to come near him until he rises in the morning. See Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 4/487.</text>
hadith|101|<text>Āmanar-Rasūlu bimā unzila ilaihi mir-Rabbihi wa ‘l-mu'minūn, kullun āmana billāhi wa malā'ikatihi wa kutubihi wa rusulih, lā nufarriqu bayna aḥadim-mir-rusulih, wa qālū sami`nā wa aṭa`nā, ghufrānaka Rabbanā wa ilayka ‘l-maṣīr. Lā yukallifu ‘llāhu nafsan illā wus`ahā, lahā mā kasabat wa `alayhā mak-tasabat, Rabbanā lā tu'ākhidhnā in nasīnā aw akhta'nā, Rabbanā wa lā taḥmil `alaynā iṣran kamā ḥamaltahu `alal-ladhīna min qablinā, Rabbanā wa lā tuḥammilnā mā lā ṭāqata lanā bih, wa`fu `annā, waghfir lanā, warḥamnā, Anta mawlānā fanṣurnā `ala ‘l-qawmi ‘l-kāfirīn.\n\nThe Messenger believes in what has been sent down to him from his Lord, and so do the believers. Each one believes in Allah, His Angels, His Books, and His Messengers. They say: "We make no distinction between any of His Messengers," and they say: "We hear, and we obey. (We seek) Your Forgiveness, our Lord, and to You is the return." Allah burdens not a person beyond what he can bear. He gets rewarded for that (good) which he has earned, and he is punished for that (evil) which he has earned. Our Lord! Punish us not if we forget or fall into error. Our Lord! Lay not on us a burden like that which You did lay on those before us. Our Lord! Put not on us a burden greater than we have the strength to bear. Pardon us and grant us forgiveness. Have mercy on us. You are our Protector, and help us against the disbelieving people.\n\nReference:\n\nAl-Baqarah 2:285-6. These two Verses will be sufficient for anyone who recites them at night before sleeping. Al-Bukhari, cf. Al-Asqalani, Fathul-Bari.9/94, Muslim 1/554.</text>
hadith|102|<text>Bismika Rabbī waḍa`tu janbī, wa bika arfa`uh, fa in amsakta nafsī farḥamhā, wa in arsaltahā faḥfaẓhā bimā taḥfaẓu bihi `ibādakaṣ-ṣāliḥīn.\n\nWith Your Name1 my Lord, I lay myself down; and with Your Name I rise. And if You take my soul, have mercy on it, and if You send it back then protect it as You protect Your righteous slaves.2\n\nReference:\n\n1 "If any of you rises from his bed and later returns to it, let him dust off his bed with his waist garment three times and mention the Name of Allah, for he does not know what may have entered the bed after him, and when he lies down he should say. . . ". 2 Al-Bukhari 1 1/ 126 and Muslim 4/2084.</text>
hadith|103|<text>Allāhumma innaka khalaqta nafsī wa anta tawaffāhā, laka mamātuhā wa maḥyāhā, in aḥyaytahā faḥfaẓhā, wa in amattahā faghfir lahā. Allāhumma innī as'aluka ‘l-`āfiyah.\n\nO Allah, You have created my soul and You take it back. Unto You is its death and its life. If You give it life then protect it, and if You cause it to die then forgive it. O Allah, I ask You for strength.\n\nReference:\n\nMuslim 4/2083 and Ahmad 2/79.</text>
hadith|104|<text>Allāhumma qinī `adhābaka yawma tab`athu `ibādak.\n\nO Allah,1 save me from Your punishment on the Day that You resurrect Your slaves.2\n\nReference:\n\n1 "When the Prophet (ﷺ) wanted to lie down to sleep, he used to place his right hand under his cheek and say..." 2 Abu Dawud 4/311. See also Al-Albani, Sahih At-Tirmidhi 3/143.</text>
hadith|105|<text>Bismika Allāhumma amūtu wa aḥyā.\n\nIn Your Name, O Allah, I die and I live.\n\nReference:\n\nHere, dying and living are metaphors for sleep and wakefulness. This explains why the normal order of these words has been reversed in this Hadith. In other contexts the living is mentioned before dying. See Qur'an Al-Baqarah 2:258, Aal-'Imrdn 3:156, Al-A'raf 7:158 among many other examples, (trans.). See also Al-Asqalani, Fathul-Bari 11/113, Muslim 4/ 2083.</text>
hadith|106|<text>Subḥānallāh, Wa ‘l-ḥamdu lillāh, Wallāhu Akbar.\n\nGlory is to Allah (thirty-three times in Arabic), Praise is to Allah (thirty-three times), Allah is the Most Great (thirty-four times)\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 7/71, Muslim 4/2091.</text>
hadith|107|<text>Allāhumma Rabbas-samāwātis-sab`i wa Rabba ‘l-`Arshi ‘l-`Aẓīm, Rabbanā wa Rabba kulli shay', fāliqa ‘l-ḥabbi wan-nawā, wa munzilat-Tawrāti wal-'Injīli, wal-Furqān, a`ūdhu bika min sharri kulli shay'in anta ākhidhun bināṣiyatih. Allāhumma anta ‘l-awwalu falaysa qablaka shay', wa antal-ākhiru falaysa ba`daka shay', wa antaẓ-ẓāhiru falaysa fawqaka shay', wa antal-bāṭinu falaysa dūnaka shay', iqḍi `annad-dayn, wa aghninā mina ‘l-faqr.\n\nO Allah! Lord of the seven heavens and Lord of the Magnificent Throne. Our Lord and the Lord of everything. Splitter of the grain and the date-stone, Revealer of the Torah and the Injeel1 and the Furqan (the Qur'an), I seek refuge in You from the evil of everything that You shall seize by the forelock.2 O Allah You are the First and nothing has come before you, and You are the Last, and nothing may come after You. You are the Most High, nothing is above You and You are the Most Near, and nothing is nearer than You. Remove our debts from us and enrich us against poverty. 3\n\nReference:\n\n1 The Scripture that was revealed to 'Isa (Jesus). 2 See Qur'an Al-'Alaq 96:15, where seizure by the forelock preceeds being cast into Hell. (Translator) 3 Muslim 4/2084.</text>
hadith|108|<text>Alḥamdu lillāhil-lathī 'aṭ`amanā wa saqānā, wa kafānā, wa 'āwānā, fakam mimman lā kāfiya lahu wa lā mu'wī.\n\nPraise is to Allah Who has provided us with food and with drink, sufficed us and gave us an abode, for how many are there with no provision and no home.\n\nReference:\n\nMuslim 4/2085.</text>
hadith|109|<text>Allāhumma `ālima ‘l-ghaybi wash-shahādah, fātiras-samāwāti wa ‘l-ardh, Rabba kulli shay'in wa malīkah, ash-hadu an lā ilāha illā ant, a`ūdhu bika min sharri nafsī, wa min sharrish-shayṭāni wa shirkih, wa an aqtarifa `alā nafsī sū'an, aw ajurrahu ilā Muslim.\n\nO Allah, Knower of the unseen and the evident, Maker of the heavens and the earth, Lord of everything and its Master, I bear witness that there is none worthy of worship but You. I seek refuge in You from the evil of my soul, and from the evil of Satan and his helpers. (I seek refuge in You) from bringing evil upon my soul and from harming any Muslim.\n\nReference:\n\nAbu Dawud 4/317. See also Al-Albani, SahihAt-Tirmidhi 3/142.</text>
hadith|110|<text>--\n\nRecite Surah 32 (As-Sajdah) and Surah 67 (Al-Mulk) in Arabic.\n\nReference:\n\nAt-Tirmidhi, An-Nasa'i. See also Al-Albani, Sahihul-Jami ' As-Saghir 4/255</text>
hadith|111|<text>Allāhumma aslamtu nafsī ilayk, wa fawwaḍtu amrī ilayk, wa wajjahtu wajhī ilayk, wa alja'tu ẓahrī ilayk, raghbatan wa rahbatan ilayk, lā malja'a wa la manjā minka illā ilayk, āmantu bikitābika ‘l-ladhī anzalt, wa bi-nabiyyika ‘l-ladhī arsalt.\n\nO Allah,1 I submit myself to You, entrust my affairs to You, turn my face to You, and lay myself down depending upon You, hoping in You and fearing You. There is no refuge, and no escape, except to You. I believe in Your Book (the Qur'an) that You revealed, and the Prophet (ﷺ) whom You sent.\n\nReference:\n\n1 "Before you go to bed perform ablutions as you would for prayer, then lie down on your right side and say. . . " The Prophet (ﷺ) said: "Whoever says this and dies in his sleep, has died in a state of the natural monotheism (Fitrah)." Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/113, Muslim 4/2081.</text>
chapter||When tossing and turning during the night
hadith|112|<text>Lā ilāha illallāh al-Wāḥidul-Qahhār, Rabbus-samāwāti wa ‘l-arḍi wa mā baynahuma al-`Azīzul-Ghaffār.\n\nThere is none worthy of worship but Allah, the One, the Victorious, Lord of the heavens and the earth and all that is between them, the All-Mighty, the All-Forgiving.\n\nReference:\n\nThis is to be said if you turn over in bed during the night. Al-Hakim graded it authentic and Ath-Thahabi agreed 1/540. Also see An-Nasa'i, 'Amalul-Yawm wal-Laylah, and Ibn As-Sunni. See also Al-Albani, Sahihul-Jami' As-Saghir 4/ 213.</text>
chapter||Upon experiencing unrest, fear, apprehensiveness during sleep
hadith|113|<text>A`ūdhu bikalimāti ‘llāhit-tāmmāti min ghaḍabihi wa `iqābihi wa sharri `ibādih, wa min hamazātish-shayāṭīni wa an yaḥḍurūn.\n\nI seek refuge in the Perfect Words of Allah from His anger and His punishment, from the evil of His slaves, and from the taunts of devils and from their presence.\n\nReference:\n\nAbu Dawud 4/12. See also Al-Albani, Sahih At- Tirmidhi 3/171</text>
chapter||Upon seeing a good dream or a bad dream
hadith|114|<text>Spit to your left (three times).[1] Seek refuge in Allah from the Devil and from the evil of what you have seen (three times).[2] Do not speak about it to anyone.[3] Turn over on your other side.[4]\n\nReference:\n\n1. Muslim 4/1 772. 2. Muslim 4/1 772, 3. 3. Muslim 4/1772. 4. Muslim 4/1773.</text>
hadith|115|<text>Get up and pray if you desire to do so.\n\nReference:\n\nMuslim 4/1773.</text>
chapter||Qunoot Al-Witr
hadith|116|<text>Allāhumma’hdinī fī man hadayt, wa `āfinī fī man `āfayt, wa tawallanī fī man tawallayt, wa bārik lī fī mā a`atayt, wa qinī sharra mā qaḍayt, fa innaka taqḍī wa lā yuqḍā `alayk, innahu lā yadhillu man wālayt, [wa lā ya`izzu man `ādayt] , tabārakta Rabbanā wa ta`ālayt.\n\nO Allah, guide me with those whom You have guided, and strengthen me with those whom You have given strength. Take me to Your care with those whom You have taken to Your care. Bless me in what You have given me. Protect me from the evil You have ordained. Surely, You command and are not commanded, and none whom You have committed to Your care shall be humiliated [and none whom You have taken as an enemy shall taste glory]. You are Blessed, Our Lord, and Exalted.\n\nReference:\n\nAbu Dawud, Ibn Majah, An-Nasa'i, At-Tirmidhi, Ahmad, Ad-Darimi, Al-Hakim, and Al-Bayhaqi. See also Al-Albani, Sahih At-Tirmidhi 1/144, Sahih Ibn Majah 1/194, and 'Irwa'ul-GhaW. 2/ 172.</text>
hadith|117|<text>Allāhumma innī a`ūdhu biriḍāka min sakhaṭik, wa bimu`āfātika min `uqūbatik, wa a`ūdhu bika mink, lā uḥṣī thanā'an `alayk, Anta kamā athnayta `alā nafsik.\n\nO Allah, I seek refuge with Your Pleasure from Your anger. I seek refuge in Your forgiveness from Your punishment. I seek refuge in You from You. I cannot count Your praises, You are as You have praised Yourself.\n\nReference:\n\nAbu Dawud, Ibn Majah, An-Nasa'i, At-Tirmidhi, Ahmad. See Al-Albani, Sahih At-Tirmidhi 3/180, Sahih Ibn Majah 1/194, and 'Irwa'ul-Ghalil. 2/ 175.</text>
hadith|118|<text>Allāhumma iyyāka na`bud, wa laka nuṣallī wa nasjud, wa ilayka nas`ā wa naḥfid, narjū raḥmatak, wa nakhshā `adhābak, inna `adhābaka bilkāfirīna mulḥaq. Allāhumma innā nasta`īnuk, wa nastaghfiruk, wa nuthnī `alaykal-khayr, wa lā nakfuruk, wa nu'minu bik, wa nakhḍa`u lak, wa nakhla`u man yakfuruk.\n\nO Allah, You alone do we worship, and to You we pray and bow down prostrate. To You we hasten to worship and to serve. Our hope is for Your mercy, and we fear Your punishment. Surely, Your punishment of the disbelievers is at hand. O Allah, we seek Your help and Your forgiveness, and we praise You beneficently. We do not deny You and we believe in You. We surrender to You and renounce whoever disbelieves in You.\n\nReference:\n\nAl-Bayhaqi graded its chain authentic in As-Sunan Al-Kubra. Al-Albani said in 'Irwa'ul-GhaliL 2/170 that its chain is authentic as a statement of 'Umar.</text>
chapter||Immediately after salam of the witr prayer
hadith|119|<text>Subḥāna ‘l-Maliki ‘l-Quddūs. [Recite three times, and raise and extend the voice on the third time and say...] Rabbi ‘l-Malā'ikati war-rūh.\n\nGlory is to the King, the Holy. [Recite three times in Arabic, and raise and extend the voice on the third time and say...] Lord of the angels and the Spirit.\n\nReference:\n\nAn-Nasa'i 3/244, Ad-Daraqutni and others. The final addition is from Ad-Daraqutni's version 2/ 31 and its chain of narration is authentic. See the checking of Zadul-Ma'ad by Shu'aib Al-Arna'ut and 'Abdul-Qadir Al-Arna'ut 1/337.</text>
chapter||For anxiety and sorrow
hadith|120|<text>Allāhumma innī `abduk, ibnu `abdik, ibnu amatik, nāsiyatī biyadik, māḍin fiyya ḥukmuk, `adlun fiyya qaḍā'uk, as'aluka bikullis’min huwa lak, sammayta bihi nafsak, aw anzaltahu fī kitābik, aw `allamtahu aḥadan min khalqik, aw‘ista'tharta bihi fī `ilmil-ghaybi `indak, an taj`ala ‘l-Qur'āna rabī`a qalbī, wa nūra ṣadrī, wa jalā'a ḥuznī, wa dhahāba hammī.\n\nO Allah, I am Your slave, and the son of Your male slave, and the son of your female slave. My forehead is in Your Hand (i.e. you have control over me). Your Judgment upon me is assured, and Your Decree concerning me is just. I ask You by every Name that You have named Yourself with, revealed in Your Book, taught any one of Your creation, or kept unto Yourself in the knowledge of the unseen that is with You, to make the Qur'an the spring of my heart, and the light of my chest, the banisher of my sadness, and the reliever of my distress.\n\nReference:\n\nAhmad 1/391, and Al-Albani graded it authentic.</text>
hadith|121|<text>Allāhumma 'innī 'a`ūdhu bika mina ‘l-ḥammi wa ‘l-ḥuzn, wa ‘l-`ajzi wa ‘l-kasal, wa ‘l-bukhli wa ‘l-jubn, wa ḍala`id-dayn, wa ghalabatir-rijāl.\n\nO Allah, I seek refuge in you from grief and sadness, from weakness and from laziness, from miserliness and from cowardice, from being overcome by debt and overpowered by men (i.e. others).\n\nReference:\n\nAl-Bukhari 7/158. See also Al-Asqalani, Fathul-Bari 11/173.</text>
chapter||For one in distress
hadith|122|<text>Lā ilāha illallāh al-`Aẓīmul-Ḥalīm, lā ilāha illallāh Rabbu ‘l-`Arshi ‘l-'Aẓīm, lā ilāha illallāh Rabbus-samāwāti wa Rabbu ‘l-arḍ wa Rabbu ‘l-`Arshi ‘l-Karīm.\n\nThere is none worthy of worship but Allah, the Mighty, the Forbearing. There is none worthy of worship but Allah, Lord of the Magnificent Throne. There is none worthy of worship but Allah, Lord of the heavens and Lord of the earth, and Lord of the Noble Throne.\n\nReference:\n\nAl-Bukhari 8/154, Muslim 4/2092</text>
hadith|123|<text>Allāhumma raḥmataka arjū falā takilnī ilā nafsī ṭarfata `ayn, wa aṣliḥ lī sha'nī kullah, lā ilāha illā ant.\n\nO Allah, I hope for Your mercy. Do not leave me to myself even for the blinking of an eye (i.e. a moment). Correct all of my affairs for me. There is none worthy of worship but You.\n\nReference:\n\nAbu Dawud 4/324, Ahmad 5/42. Al-Albani graded it as good in Sahih Abu Dawud 3/959.</text>
hadith|124|<text>Lā ilāha illā anta subḥānaka innī kuntu minaẓ-ẓālimīn.\n\nThere is none worthy of worship but You, glory is to You. Surely, I was among the wrongdoers.\n\nReference:\n\nAt-Tirmidhi 5/529. Al-Hakim declared it authentic and Ath-Thahabi agreed with him 1/ 505. See also Al-Albani, Sahih At-Tirmidhi 3/168.</text>
hadith|125|<text>Allāh, Allāhu Rabbī lā ushriku bihi shay'a.\n\nAllah, Allah is my Lord. I do not associate anything with Him.\n\nReference:\n\nAbu Dawud 2/87. See also Al-Albani, Sahih Ibn Mdjah 2/335.</text>
chapter||Upon encountering an enemy or those of authority
hadith|126|<text>Allāhumma innā naj`aluka fī nuḥūrihim wa na`ūdhu bika min shurūrihim.\n\nO Allah, we ask You to restrain them by their necks, and we seek refuge in You from their evil.\n\nReference:\n\nAbu Dawud 2/89, and Al-Hakim graded it authentic and Ath-Thahabi agreed 2/142.</text>
hadith|127|<text>Allāhumma anta `aḍudī, wa anta naṣīrī, bika ajūlu, wa bika aṣūlu, wa bika uqātil.\n\nO Allah, You are my strength and You are my support. For Your sake, I go forth and for Your sake, I advance and for Your sake, I fight.\n\nReference:\n\nAbu Dawud 3/42, At-Tirmidhi 5/572. See also Al-Albani, Sahih At-Tirmidhi 3/183.</text>
hadith|128|<text>Ḥasbunallāhu wa ni`mal-wakīl.\n\nAllah is sufficient for us and the best of those on whom to depend.\n\nReference:\n\nAl-Bukhari, 5/172.</text>
chapter||For one afraid of the ruler's injustice
hadith|129|<text>Allāhumma Rabbas-samāwātis-sab`, wa Rabba ‘l-`Arshi ‘l-`Aẓīm, kun lī jāran min [here you mention the person's name], wa aḥzābihi min khalā'iqik, an yafruṭa `alayya aḥadun minhum aw yaṭghā, `azza jāruk, wa jalla thanā'uk, wa lā ilāha illā ant.\n\nO Allah, Lord of the seven heavens, Lord of the Magnificent Throne, be for me a support against [such and such a person] and his helpers from among your creatures, lest any of them abuse me or do me wrong. Mighty is Your patronage, and glorious are Your praises. There is none worthy of worship but You.\n\nReference:\n\nAl-Bukhari, Al-'Adab Al-Mufrad (no. 707). Al-Albani graded it authentic in Sahih Al-'Adab Al-Mufrad (no. 545).</text>
