collection||المستدرك على الصحيحين
book||1 أبو بكر بن أبي قحافة رضي الله عنهما
book_intro||رضي الله تعالى عنهم أما الشيخان فإنهما لم يزيدا على المناقب وقد بدأنا في أول ذكر الصحابي بمعرفة نسبه ووفاته ثم بما يصح على شرطهما من مناقبه مما لم يخرجاه فلم أستغن عن ذكر محمد بن عمر الواقدي وأقرانه في المعرفة
hadith|4403|حدثنا أبو العباس محمد بن يعقوب ثنا عبد الله بن أبي أسامة الحلبي ثنا حجاج بن أبي منيع عن جده عن الزهري قال * أبو بكر الصديق اسمه عبد الله بن عثمان بن عامر بن عمرو بن كعب بن سعد بن تيم بن مرة بن كعب بن لؤي بن غالب بن فهر
hadith|4404|حدثنا أحمد بن كامل القاضي ثنا عبد الله بن روح المدائني ثنا شبابة ثنا صالح بن موسى الطلحي عن معاوية بن إسحاق عن عائشة بنت طلحة عن عائشة أم المؤمنين رضي الله عنها قالت قال رسول الله صلى الله عليه وسلم * من سره أن ينظر إلى عتيق من النار فلينظر إلى أبي بكر وإن اسمه الذي سماه أهله لعبد الله بن عثمان بن عامر بن عمرو حيث ولد فغلب عليه اسم عتيق هذا حديث صحيح الإسناد ولم يخرجاه
hadith|4405|أخبرني أحمد بن محمد بن واصل المطوعي ببيكند حدثني أبي ثنا محمد بن إسماعيل حدثني أحمد بن حنبل ثنا إسحاق بن منصور السلولي سمع محمد بن سليمان السعيدي يحدث عن هارون بن سعد عن عمران بن ظبيان عن أبي يحيى * سمع عليا يحلف لأنزل الله تعالى اسم أبي بكر رضي الله عنه من السماء صديقا لولا مكان محمد بن سليمان السعيدي من الجهالة لحكمت لهذا الإسناد بالصحة وله شاهد من حديث النزال بن سبرة عن علي رضي الله عنه
hadith|4406|حدثناه عبد الرحمن بن حمدان الجلاب ثنا هلال بن العلاء الرقي حدثني أبي ثنا إسحاق بن يوسف ثنا أبو سنان عن الضحاك ثنا النزال بن سبرة قال * وافقنا عليا رضي الله عنه طيب النفس وهو يمزح فقلنا حدثنا عن أصحابك قال كل أصحاب رسول الله صلى الله عليه وسلم أصحابي فقلنا حدثنا عن أبي بكر فقال ذاك امرء سماه الله صديقا على لسان جبريل ومحمد صلى الله عليهما
hadith|4407|أخبرني مكرم بن أحمد القاضي ثنا إبراهيم بن الهيثم البلدي ثنا محمد بن كثير الصنعاني ثنا معمر بن راشد عن الزهري عن عروة عن عائشة رضي الله عنها قالت * لما أسري بالنبي صلى الله عليه وسلم إلى المسجد الأقصى أصبح يتحدث الناس بذلك فارتد ناس فمن كان آمنوا به وصدقوه وسمعوا بذلك إلى أبي بكر رضي الله عنه فقالوا هل لك إلى صاحبك يزعم أنه أسري به الليلة إلى بيت المقدس قال أو قال ذلك قالوا نعم قال لئن كان قال ذلك لقد صدق قالوا أو تصدقه أنه ذهب الليلة إلى بيت المقدس وجاء قبل أن يصبح قال نعم أني لأصدقه فيما هو أبعد من ذلك أصدقه بخبر السماء في غدوة أو روحة فلذلك سمي أبو بكر الصديق هذا حديث صحيح الإسناد ولم يخرجاه
hadith|4408|حدثني أبو بكر محمد بن عبد الحميد ثنا محمد بن زكريا ثنا بن عائشة حدثني أبي عن عمه عن ربيعة بن أبي عبد الرحمن عن سعيد بن المسيب قال * كان أبو بكر الصديق رضي الله عنه من النبي صلى الله عليه وسلم مكان الوزير فكان يشاوره في جميع أموره وكان ثانيه في الإسلام وكان ثانيه في الغار وكان ثانيه في العريش يوم بدر وكان ثانيه في القبر ولم يكن رسول الله صلى الله عليه وسلم يقدم عليه أحدا
hadith|4409|حدثنا أبو عبد الله الأصبهاني ثنا محمد بن عبد الله بن رستة ثنا أبو أيوب سليمان بن داود المقرئ ثنا محمد بن عمر الواقدي ثنا محمد بن عبد الله بن أخي الزهري عن الزهري عن عروة عن عائشة رضي الله عنها قالت * توفي أبو بكر رضي الله عنه ليلة الثلاثاء لثمان بقين من جمادى الأولى سنة ثلاث عشرة وهو يومئذ بن ثلاث وستين وكان مرضه خمسة عشر يوما وكان سبب مرضه أنه اغتسل في يوم بارد فحم خمسة عشر ليلة لم يخرج إلى الصلاة فكان عمر رضي الله عنه يصلي بالناس وهو في داره التي قطع له رسول الله صلى الله عليه وسلم وجاه دار عثمان اليوم وأوصى أن تغسله أسماء بنت عميس امرأته وإنها ضعفت فاستعانت بعبد الرحمن وكفن في ثوبين أحدهما غسيل ويقال في ثلاثة أثواب وحمل على سرير النبي صلى الله عليه وسلم وهو سرير عائشة رضي الله عنها الذي كانت تنام عليه فحمل عليه أبو بكر رضي الله عنه فصلى عليه عمر في المسجد بين القبر والمنبر ودفن في البيت مع رسول الله صلى الله عليه وسلم ليلا وجعل رأسه بين كتفي النبي صلى الله عليه وسلم
hadith|4410|حدثني أبو علي الحافظ ثنا أبو عبيد القاسم بن إسماعيل حدثنا عبيد الله بن سعد ثنا عمي ثنا سيف بن محمد عن يونس بن الفضل عن سالم بن عبد الله عن أبيه قال * كان سبب موت أبي بكر موت رسول الله صلى الله عليه وسلم ما زال جسمه يجري حتى مات
hadith|4411|حدثني الأستاذ أبو الوليد ثنا عبد الله بن سليمان بن الأشعث ثنا عبد الملك بن شعيب بن الليث حدثني أبي عن جدي عن عقيل عن بن شهاب * أن رجلا أهدى يوما لأبي بكر رضي الله عنه صحفة من خزيرة وعنده رجل يقال له الحارث بن كلدة وعنده علم فلما أكلا منها قال بن كلدة فيها سم سنة فوالذي نفسي بيده لم يمر الحول حتى ماتا في يوم واحد رأس السنة
hadith|4412|فحدثني أبو بكر بن محمد الصيرفي بمرو ثنا عبد الصمد بن الفضل ثنا مكي بن إبراهيم ثنا السري بن إسماعيل عن الشعبي أنه قال * ماذا يتوقع من هذه الدنيا الدنية وقد سم رسول الله صلى الله عليه وسلم وسم أبو بكر الصديق وقتل عمر بن الخطاب حتف أنفه وكذلك قتل عثمان وعلي وسم الحسن وقتل الحسين حتف أنفه
hadith|4413|حدثني أبو جعفر أحمد بن عبيد الحافظ بهمدان ثنا محمد بن إبراهيم ثنا عمرو بن زياد ثنا غالب بن عبد الله القرفساني عن أبيه عن جده حبيب بن أبي حبيب قال * شهدت رسول الله صلى الله عليه وسلم قال لحسان بن ثابت قلت في أبي بكر شيئا قال نعم قال قل حتى أسمع قال قلت
hadith|4414|حدثنا أبو عبد الله محمد بن علي بن مخلد الجوهري ببغداد ثنا الحارث بن أبي أسامة ثنا الخليل بن زكريا ثنا مجالد بن سعيد عن الشعبي قال * سألت عن بن عباس أو سئل من أول من أسلم فقال أما سمعت قول حسان رضي الله عنه
hadith|4415|حدثني علي بن حمشاد العدل ثنا بشر بن موسى ثنا الحميدي ثنا سفيان حدثني هشام بن عروة عن أبيه عن عائشة رضي الله عنها أنها قالت * سألني أبو بكر رضي الله عنه في كم كفنتم رسول الله صلى الله عليه وسلم فقلت في ثلاثة أثواب قال ففيها كفنوني هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|4416|أخبرني أحمد بن يعقوب الثقفي ثنا الحسن بن علي بن شبيب المعمري ثنا عبد الرحمن بن صالح الأزدي ثنا عبد الرحيم بن سليمان عن هشام بن عروة عن أبيه عن عائشة رضي الله عنها أخبرته * أن أبا بكر رضي الله عنه حين حضرته الوفاة قال في كم كفنتم النبي صلى الله عليه وسلم فقلت في ثلاثة أثواب بيض يمانية جدد ليس فيها قميص ولا عمامة قال اغسلوا ثوبي هذا وفيه ردع من زعفران ومشق فاجعلوه مع ثوبين جديدين فقلت إنه خلق فقال الحي أحق بالجديد من الميت إنه للمهل قال عبد الرحيم وحدثني هشام بن عروة قال أخبرني عثمان بن الوليد عن عروة أن أبا بكر رضي الله عنه صلى عليه في المسجد ودفن ليلا إلى جنب رسول الله صلى الله عليه وسلم في حجرة عائشة رضي الله عنها
hadith|4417|أخبرني أحمد بن يعقوب الثقفي المعمري ثنا جعفر بن مسافر ثنا عبد الله بن نافع عن نافع بن أبي نعيم عن نافع عن بن عمر رضي الله عنهما قال * ولي أبو بكر رضي الله عنه في خلافته سنتين وسبعة أشهر
hadith|4418|حدثنا الحاكم الفاضل أبو عبد الله محمد بن عبد الله الحافظ إملاء أخبرني عبد الله بن جعفر بن درستويه الفارسي ثنا يعقوب بن سفيان ثنا أبو توبة الربيع بن نافع الحلبي ثنا محمد بن مهاجر عن العباس بن سالم عن أبي سلام عن أبي أمامة عن عمرو بن عبسة رضي الله عنه قال * أتيت رسول الله صلى الله عليه وسلم في أول ما بعث وهو بمكة وهو حينئذ مستخف فقلت ما أنت قال أنا نبي قلت وما النبي قال رسول الله قلت آلله أرسلك قال نعم قلت فيما أرسلك قال أن تعبد الله وتكسر الأصنام وأن تصل الأرحام قلت نعم ما أرسلك به فمن تبعك على هذا قال عبد وحر يعني أبا بكر وبلالا وكان عمرو يقول لقد رأيتني وأنا ربع الإسلام قال فأسلمت وقلت اتبعك يا رسول الله قال لا ولكن الحق بقومك فإذا أخبرت أني قد خرجت فاتبعني هذا حديث صحيح الإسناد ولم يخرجاه وقد تابع أبا سلام على روايته ضمرة بن حبيب وأبو طلحة الراسبي وشداد بن عبد الله أبو عمار أما حديث ضمرة وأبي طلحة
hadith|4419|فحدثناه أبو العباس محمد بن يعقوب ثنا بحر بن نصر بن سابق الخولاني ثنا عبد الله بن وهب قال وأخبرني معاوية بن صالح ثنا أبو يحيى وضمرة بن حبيب وأبو طلحة عن أبي أمامة الباهلي قال أخبرني عمرو بن عبسة رضي الله عنه قال * أتيت رسول الله صلى الله عليه وسلم وهو نازل بعكاظ قلت يا رسول الله من اتبعك على هذا الأمر قال اتبعني عليه رجلان حر وعبد أبو بكر وبلال قال فأسلمت عند ذلك وأما حديث أبي عمار
hadith|4420|فحدثناه أبو بكر بن إسحاق أنبأ محمد بن أيوب أنبأ أبو الوليد الطيالسي ثنا عكرمة بن عمار ثنا شداد بن عبد الله أبو عمار وكان قد أدرك نفرا من أصحاب رسول الله صلى الله عليه وسلم قال قال أبو أمامة * يا عمرو بن عبسة بأي شيء تدعي إنك ربع الإسلام فذكر الحديث بطوله
hadith|4421|حدثنا علي بن حمشاد العدل ثنا العباس بن الفضل الأسفاطي ثنا إسماعيل بن أبي أويس عن سليمان بن بلال عن هشام بن عروة عن أبيه عن عائشة رضي الله عنها عن عمر رضي الله عنه قال * كان أبو بكر سيدنا وخيرنا وأحبنا إلى رسول الله صلى الله عليه وسلم صحيح على شرطهما ولم يخرجاه
hadith|4422|حدثنا محمد بن صالح بن هانئ ثنا الفضل بن محمد البيهقي ثنا إبراهيم بن المنذر الحزامي ثنا محمد بن فليح عن موسى بن عقبة عن سعد بن إبراهيم قال حدثني إبراهيم بن عبد الرحمن بن عوف * أن عبد الرحمن بن عوف كان مع عمر بن الخطاب رضي الله عنه وأن محمد بن مسلمة كسر سيف الزبير ثم قام أبو بكر فخطب الناس واعتذر إليهم وقال والله ما كنت حريصا على الإمارة يوما ولا ليلة قط ولا كنت فيها راغبا ولا سألتها الله عز وجل في سر وعلانية ولكني أشفقت من الفتنة ومالي في الإمارة من راحة ولكن قلدت أمرا عظيما مالي به من طاقة ولا يد إلا بتقوية الله عز وجل ولوددت أن أقوى الناس عليها مكاني اليوم فقبل المهاجرون منه ما قال وما اعتذر به قال علي رضي الله عنه والزبير ما غضبنا إلا لأنا قد أخرنا عن المشاورة وإنا نرى أبا بكر أحق الناس بها بعد رسول الله صلى الله عليه وسلم إنه لصاحب الغار وثاني اثنين وإنا لنعلم بشرفه وكبره ولقد أمره رسول الله صلى الله عليه وسلم بالصلاة بالناس وهو حي هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|4423|حدثنا أبو العباس محمد بن يعقوب ثنا أبو البحتري عبد الله بن محمد بن شاكر ثنا حسين بن علي الجعفي عن زائدة عن عاصم عن زر عن عبد الله رضي الله عنه قال * لما قبض رسول الله صلى الله عليه وسلم قالت الأنصار منا أمير ومنكم أمير قال فأتاهم عمر رضي الله عنه فقال يا معشر الأنصار ألستم تعلمون أن رسول الله صلى الله عليه وسلم قد أمر أبا بكر يؤم الناس فأيكم تطيب نفسه أن يتقدم أبا بكر رضي الله عنه فقالت الأنصار نعوذ بالله أن نتقدم أبا بكر هذا حديث صحيح الإسناد ولم يخرجاه
hadith|4424|حدثنا أبو بكر بن إسحاق أنبأ العباس بن الفضل الأسفاطي ثنا محمد بن عبد الله بن نمير ثنا محمد بن أبي عبيدة عن أبيه عن الأعمش عن أبي سفيان عن أنس رضي الله عنه قال * لقد ضربوا رسول الله صلى الله عليه وسلم حتى غشي عليه فقام أبو بكر رضي الله عنه فجعل ينادي ويقول ويلكم أتقتلون رجلا أن يقول ربي الله قالوا من هذا قالوا هذا بن أبي قحافة المجنون هذا حديث صحيح على شرط مسلم ولم يخرجاه
hadith|4425|حدثنا عبد الله بن جعفر الفارسي ثنا يعقوب بن سفيان ثنا سعيد بن عفير ثنا الليث بن سعد عن عقيل عن بن شهاب عن عبد الرحمن بن مالك المدلجي وهو بن أخي سراقة بن جعشم أن أباه أخبره أنه سمع سراقة بن جعشم يقول * جاءتنا رسل كفار قريش يجعلون في رسول الله صلى الله عليه وسلم وفي أبي بكر دية ولمن قتلهما في كل واحد منهما دية أو أسرهما هذا حديث صحيح على شرط مسلم ولم يخرجاه
hadith|4426|أخبرنا أبو عمرو عثمان بن أحمد بن السماك ببغداد ثنا يحيى بن جعفر بن الزبرقان ثنا أبو أحمد الزبيري ثنا سفيان وأخبرنا أحمد بن جعفر القطيعي ثنا عبد الله بن حنبل حدثني أبي ثنا يحيى عن سفيان عن القاسم بن كثير عن قيس الحارثي قال سمعت عليا رضي الله عنه يقول * سبق رسول الله صلى الله عليه وسلم وثنى أبو بكر وثلث عمر ثم خطبتنا فتنة ويعفو الله عمن يشاء هذا حديث صحيح الإسناد ولم يخرجاه
hadith|4427|أخبرنا محمد بن المؤمل بن الحسن بن عيسى ثنا الفضل بن محمد الشعراني ثنا يوسف بن عدي ونعيم بن حماد قالا ثنا عبد الله بن المبارك أخبرني عمر بن سعيد بن أبي حسين القرشي عن بن أبي مليكة قال سمعت بن عباس رضي الله عنهما يقول * لما وضع عمر بن الخطاب رضي الله عنه على سريره فتكنفه الناس يدعون له وأنا فيهم فجاء علي بن أبي طالب رضي الله عنه فقال إني كنت لأظن أن يجعلك الله تعالى مع صاحبيك وذلك أني كنت أكثر أن أسمع رسول الله صلى الله عليه وسلم يقول ذهبت أنا وأبو بكر وعمر ودخلت أنا وأبو بكر وعمر وخرجت أنا وأبو بكر وعمر وإني كنت أظن أن يجعلك الله معهما هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|4428|حدثنا أحمد بن إسحاق العدل الصيدلاني ثنا الحسين بن الفضل ثنا علي بن بحر بن بري ثنا سعيد بن مسلمة القرشي عن إسماعيل بن أمية عن نافع عن بن عمر رضي الله عنهما قال * دخل رسول الله صلى الله عليه وسلم المسجد وإحدى يديه على أبي بكر والأخرى على عمر فقال هكذا نبعث يوم القيامة
hadith|4429|أخبرنا عبدان بن يزيد الدقيقي بهمدان ثنا عمير بن مدارس ثنا عبد الله بن نافع الصائغ ثنا عاصم بن عمر عن عبد الله بن دينار عن بن عمر رضي الله عنهما قال قال رسول الله صلى الله عليه وسلم * أول من تنشق عنه الأرض أنا ثم أبو بكر ثم عمر ثم آتي أهل البقيع فتنشق عنهم فأبعث بينهم هذا حديث صحيح الإسناد ولم يخرجاه
hadith|4430|حدثني علي بن حمشاد العدل ثنا محمد بن سليمان الواسطي ثنا أبو نعيم وخلاد بن يحيى قالا ثنا مسعر عن أبي عون الثقفي عن أبي صالح الحنفي عن علي رضي الله عنه قال * قال لي النبي صلى الله عليه وسلم ولأبي بكر مع أحدكما جبريل ومع الآخر ميكائيل وإسرافيل ملك عظيم يشهد القتال ويكون في الصف هذا حديث صحيح الإسناد لم يخرجاه
hadith|4431|حدثنا أبو عبد الله محمد بن يعقوب ثنا إبراهيم بن عبد الله السعدي ثنا محمد بن خالد بن عثمة ثنا موسى بن يعقوب حدثني أبو الحويرث أن محمد بن جبير بن مطعم أخبره أنه سمع عليا رضي الله عنه يخطب الناس فقال * بينما أنا أمتح من قليب بدر إذ جاءت ريح شديدة لم أر مثلها قط ثم ذهبت ثم جاءت ريح شديدة لم أر مثلها قط إلا التي كانت قبلها ثم ذهبت ثم جاءت ريح شديدة لم أر مثلها قط إلا التي كانت قبلها فكانت الريح الأولى جبريل نزل في ألف من الملائكة مع رسول الله صلى الله عليه وسلم وكانت الريح الثانية ميكائيل نزل في ألف من الملائكة عن يمين رسول الله صلى الله عليه وسلم وكان أبو بكر عن يمينه وكانت الريح الثالثة إسرافيل نزل في ألف من الملائكة عن ميسرة رسول الله صلى الله عليه وسلم وأنا في الميسرة فلما هزم الله تعالى أعداءه حملني رسول الله صلى الله عليه وسلم على فرسه فجرت بي فوقعت على عقبي فدعوت الله عز وجل فأمسكني فلما استويت عليها طعنت بيدي هذه في القوم حتى اختضب هذا مني دما وأشار إلى إبطه هذا حديث صحيح الإسناد ولم يخرجاه
hadith|4432|حدثني أبو جعفر أحمد بن عبيد الحافظ بهمدان ثنا إبراهيم بن الحسين ثنا آدم بن أبي إياس العسقلاني حدثني محمد بن إسماعيل بن أبي فديك المدني عن الحسن بن عبد الله بن عطية السعدي عن عبد العزيز بن المطلب بن عبد الله بن حنطب عن أبيه عن جده عبد الله بن حنطب قال * كنت مع رسول الله صلى الله عليه وسلم فنظر إلى أبي بكر وعمر رضي الله عنهما فقال هذان السمع والبصر هذا حديث صحيح الإسناد ولم يخرجاه
hadith|4433|أخبرني بكر بن محمد الصيرفي بمرو ثنا أبو قلابة الرقاشي ثنا أبو عتاب سهل بن حماد ثنا موسى بن عمير قال سمعت مكحولا يقول * وسأله رجل عن قول الله عز وجل فإن الله هو مولاه وجبريل وصالح المؤمنين قال حدثني أبو أمامة أنه كما قال الله مولاه وجبريل وصالح المؤمنين أبو بكر وعمر صحيح الإسناد ولم يخرجاه
hadith|4434|حدثنا أبو العباس محمد بن يعقوب ثنا الحسن بن علي بن عفان وأخبرني محمد بن عبد الله الجوهري ثنا محمد بن إسحاق بن خزيمة ثنا الحسن بن علي بن عفان العامري ثنا زيد بن الحباب ثنا فضيل بن مرزوق الرواسي ثنا أبو إسحاق عن زيد بن يثيع عن علي رضي الله عنه قال قال رسول الله صلى الله عليه وسلم * إن تولوا أبا بكر تجدوه زاهدا في الدنيا راغبا في الآخرة وإن تولوا عمر تجدوه قويا أمينا لا تأخذه في الله تعالى لومه لائم وإن تولوا عليا تجدوه هاديا مهديا يسلك بكم الطريق هذا حديث صحيح الإسناد ولم يخرجاه وشاهده حديث حذيفة بن اليمان
hadith|4435|حدثنا علي بن عبد الله الحكيمي ببغداد ثنا العباس بن محمد الدوري ثنا الأسود بن عامر بن شاذان ثنا شريك بن عبد الله عن عثمان بن عمير عن شقيق بن سلمة عن حذيفة رضي الله عنه قال قالوا * يا رسول الله لو استخلفت علينا قال إن أستخلف عليكم خليفة فتعصوه ينزل بكم العذاب قالوا لو استخلفت علينا أبا بكر قال إن أستخلفه عليكم تجدوه قويا في أمر الله ضعيفا في جسده قالوا لو استخلفت علينا عمر قال إن أستخلفه عليكم تجدوه قويا أمينا لا تأخذه في الله لومة لائم قالوا لو استخلفت علينا عليا قال إنكم لا تفعلوا وإن تفعلوا تجدوه هاديا مهديا يسلك بكم الطريق المستقيم عثمان بن عمير هذا هو أبو اليقظان
hadith|4436|أخبرنا أبو جعفر محمد بن أحمد البغدادي ثنا يحيى بن أيوب العلاف بمصر ثنا سعيد بن أبي مريم أنبأ سفيان بن عيينة عن عمرو بن دينار عن بن عباس رضي الله عنهما * في قوله عز وجل وشاورهم في الأمر قال أبو بكر وعمر رضي الله عنهما هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|4437|أخبرني أبو عبد الرحمن بن أبي الوزير التاجر ثنا أبو حاتم الرازي ثنا محمد بن عبد الله الأنصاري ثنا أشعث بن عبد الملك الحمراني عن الحسن عن أبي بكرة رضي الله عنه أن النبي صلى الله عليه وسلم قال * من رأى منكم رؤيا فقال رجل أنا رأيت كأن ميزانا نزل من السماء فوزنت أنت وأبو بكر فرجحت أنت بأبي بكر ووزن عمر وأبو بكر فرجح أبو بكر ووزن عمر وعثمان فرجح عمر ثم رفع الميزان فرأينا الكراهية في وجه رسول الله صلى الله عليه وسلم هذا حديث صحيح على شرط الشيخين ولم يخرجاه وشاهده حديث سعيد بن جمهان عن سفينة الذي
hadith|4438|حدثنا أبو العباس محمد بن يعقوب ثنا حميد بن عياش الرملي ثنا المؤمل بن إسماعيل ثنا حماد بن سلمة عن سعيد بن جمهان عن سفينة مولى أم سلمة رضي الله عنها قال * كان رسول الله صلى الله عليه وسلم إذا صلى الصبح ثم أقبل على أصحابه فقال أيكم رأى الليلة رؤيا قال فصلى ذات يوم فقال أيكم رأى رؤيا فقال رجل أنا رأيت يا رسول الله كأن ميزانا دلي به من السماء فوضعت في كفة ووضع أبو بكر من كفة أخرى فرجحت بأبي بكر فرفعت وترك أبو بكر مكانه فجيىء بعمر بن الخطاب فوضع في الكفة الأخرى فرجح به أبو بكر فرفع أبو بكر وجيىء بعثمان فوضع في الكفة الأخرى فرجح عمر بعثمان ثم رفع عمر وعثمان ورفع الميزان قال فتغير وجه رسول الله صلى الله عليه وسلم ثم قال خلافة النبوة ثلاثون عاما ثم تكون ملك قال سعيد بن جمهان فقال لي سفينة أمسك سنتي أبي بكر وعشر عمر واثنتي عشرة عثمان وست علي رضي الله عنهم أجمعين وقد أسندت هذه الروايات بإسناد صحيح مرفوعا إلى النبي صلى الله عليه وسلم
hadith|4439|أخبرناه أبو عبد الله محمد بن عبد الله الصفار ثنا أحمد بن مهدي بن رستم ثنا موسى بن هارون البردي ثنا محمد بن حرب حدثني الزبيدي عن الزهري عن عمرو بن أبان بن عثمان بن عفان عن جابر بن عبد الله رضي الله عنهما أن رسول الله صلى الله عليه وسلم قال * أري الليلة رجل صالح أن أبا بكر رضي الله عنه نيط برسول الله صلى الله عليه وسلم ونيط عمر بأبي بكر ونيط عثمان بعمر قال جابر فلما قمنا من عند النبي صلى الله عليه وسلم قلنا الرجل الصالح النبي صلى الله عليه وسلم وأما ما ذكر من نوط بعضهم بعضا فهم ولاة هذا الأمر الذي بعث الله به نبيه صلى الله عليه وسلم ولعاقبة هذا الحديث إسناد صحيح عن أبي هريرة ولم يخرجاه
hadith|4440|حدثني أبو بكر أحمد بن بالويه من أصل كتابه ثنا محمد بن عثمان بن أبي شيبة ثنا يحيى بن معين ثنا هشيم عن العوام بن حوشب عن سليمان بن أبي سليمان عن أبيه عن أبي هريرة رضي الله عنه عن النبي صلى الله عليه وسلم قال * الخلافة بالمدينة والملك بالشام صحيح
hadith|4441|حدثنا أبو العباس محمد بن يعقوب ثنا محمد بن سنان القزاز ثنا أبو عتاب سهل بن حماد ثنا المختار بن نافع ثنا أبو حيان التيمي عن أبيه عن علي بن أبي طالب رضي الله عنه قال قال رسول الله صلى الله عليه وسلم * رحم الله أبا بكر زوجني ابنته وحملني إلى دار الهجرة هذا حديث صحيح على شرط مسلم ولم يخرجاه
hadith|4442|حدثنا أبو بكر بن إسحاق أنبأ عبد الله بن الصقر ثنا إبراهيم بن المنذر الحزامي ثنا معن بن عيسى ثنا عبيد الله بن عمر بن حفص عن نافع عن بن عمر رضي الله عنهما قال * لما دخل رسول الله صلى الله عليه وسلم عام الفتح رأى النساء يلطمن وجوه الخيل بالخمر فتبسم إلى أبي بكر رضي الله عنه وقال يا أبا بكر كيف قال حسان بن ثابت فأنشده أبو بكر رضي الله عنه
hadith|4443|حدثنا أبو محمد المزني وأبو سعيد الثقفي قالا ثنا محمد بن عبد الله الحضرمي ثنا ضرار بن صرد ثنا شريك عن الأعمش عن عمرو بن مرة عن عبد الله بن سلمة عن عبيدة السلماني عن عبد الله بن مسعود رضي الله عنه قال * كنا عند النبي صلى الله عليه وسلم فقال النبي صلى الله عليه وسلم يطلع عليكم رجل من أهل الجنة فاطلع أبو بكر فسلم ثم جلس هذا حديث صحيح على شرط مسلم ولم يخرجاه
hadith|4444|حدثنا أبو بكر بن إسحاق الفقيه أنبأ أبو مسلم عمران بن ميسرة ثنا المحاربي عن عبد السلام بن حرب عن أبي خالد الدالاني عن أبي حازم عن أبي هريرة رضي الله عنه قال قال رسول الله صلى الله عليه وسلم * أخذ جبريل بيدي فأراني باب الجنة الذي تدخل منه أمتي فقال أبو بكر يا رسول الله وددت أني كنت معك حتى أراه فقال رسول الله صلى الله عليه وسلم أما إنك أول من يدخله من أمتي هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|4445|حدثنا أبو العباس محمد بن يعقوب ثنا أحمد بن عبد الله بن عبد الجبار ثنا عبد الله بن إدريس عن محمد بن عمرو عن يحيى بن عبد الرحمن بن حاطب قال قالت عائشة رضي الله عنها * لما ماتت خديجة رضي الله عنها جاءت خولة بنت حكيم إلى رسول الله صلى الله عليه وسلم فقالت ألا تزوج قال من قالت إن شئت بكرا وإن شئت ثيبا قال ومن البكر ومن الثيب قالت أما البكر فابنة أحب خلق الله إليك عائشة بنت أبي بكر رضي الله عنه وأما الثيب فسودة بنت زمعة هذا حديث صحيح على شرط مسلم ولم يخرجاه
hadith|4446|حدثنا أبو عبد الله محمد بن يعقوب الحافظ ثنا يحيى بن محمد بن يحيى ثنا مسدد ثنا كهمس عن عبد الله بن شقيق قال * قلت لعائشة رضي الله عنها أي الناس كان أحب إلى رسول الله صلى الله عليه وسلم قالت أبو بكر ثم عمر ثم أبو عبيدة بن الجراح هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|4447|حدثنا أبو بكر بن إسحاق أنبأ أبو مسلم ثنا سليمان بن داود ثنا محمد بن إسماعيل بن أبي فديك ثنا عاصم بن عمر عن سهيل بن أبي صالح عن محمد بن إبراهيم بن الحارث عن أبي سلمة بن عبد الرحمن عن أبي أروى الدوسي قال * كنت جالسا عند النبي صلى الله عليه وسلم فأطلع أبو بكر وعمر رضي الله عنهما فقال رسول الله صلى الله عليه وسلم الحمد لله الذي أيدني بكما هذا حديث صحيح الإسناد ولم يخرجاه
hadith|4448|أخبرنا بكر بن محمد بن حمدان الصيرفي بمرو ثنا عبد الصمد بن الفضل ثنا حفص بن عمر ثنا مسعر بن كدام عن عبد الملك بن ربعي بن حراش عن حذيفة بن اليمان رضي الله عنهما قال سمعت رسول الله صلى الله عليه وسلم يقول * لقد هممت أن أبعث إلى الآفاق رجالا يعلمون الناس السنن والفرائض كما بعث عيسى بن مريم الحواريين قيل له فأين أنت من أبي بكر وعمر قال إنه لا غنى بي عنهما إنهما من الدين كالسمع والبصر هذا حديث تفرد به حفص بن عمر العدني عن مسعر
hadith|4449|حدثني أبو بكر عبد الله بن محمد الطلحي بالكوفة ثنا محمد بن عثمان بن أبي شيبة ثنا منجاب بن الحارث ثنا حصين بن عمر الأحمسي ثنا مخارق عن طارق عن أبي بكر رضي الله عنه قال * لما نزلت على النبي صلى الله عليه وسلم إن الذين يغضون أصواتهم عند رسول الله أولئك الذين امتحن الله قلوبهم للتقوى قال أبو بكر رضي الله عنه فآليت على نفسي أن لا أكلم رسول الله صلى الله عليه وسلم إلا كأخي السرار هذا حديث صحيح الإسناد ولم يخرجاه
