collection||Sahih al Bukhari
hadith|3215|Telah bercerita kepada kami [Farwah] telah bercerita kepada kami ['Ali bin Mushir] dari [Hisyam bin 'Urwah] dari [bapaknya] dari ['Aisyah radliallahu 'anhu] bahwa Al Harits bin Hisyam bertanya kepada Nabi shallallahu 'alaihi wasallam: "Bagaimana caranya wahyu datang kepada Tuan?". Beliau menjawab: "Terkadang datang kepadaku seperti suara gemerincing lonceng lalu terhenti sebentar namun aku dapat mengerti apa yang disampaikan. Dan cara ini yang paling berat buatku. Dan terkadang datang Malaikat menyerupai seorang laki-laki lalu berbicara kepadaku maka aku ikuti apa yang diucapkannya
hadith|3216|Telah bercerita kepada kami [Adam] telah bercerita kepada kami [Syaiban] telah bercerita kepada kami [Yaha bin Abi Katsir] dari [Abu Salamah] dari [Abu Hurairah radliallahu 'anhu] berkata aku mendengar Nabi shallallahu 'alaihi wasallam bersabda: ""Barang siapa yang menginfaqkan sepasang sesuatu di jalan Allah, maka penjaga-penjaga surga akan memanggilnya, setiap penjaga pintu surge memanggil: "Kemarilah". Abu Bakar berkata: "Wahai Rasulullah, itulah orang yang tidak akan rugi dan sengsara". Maka Nabi Shallallahu'alaihiwasallam bersabda: "Aku berharap kamu termasuk diantara mereka
hadith|3217|
hadith|3218|
hadith|3219|
hadith|3220|
hadith|3221|
hadith|3222|
hadith|3223|
chapter||If anyone says Amin [during the Salat (prayer) at the end of the recitation of Surat Al-Fatiha]
hadith|3224|
hadith|3225|
hadith|3226|
hadith|3227|
hadith|3228|
hadith|3229|
hadith|3230|
hadith|3231|
hadith|3232|
hadith|3233|
hadith|3234|
hadith|3235|
hadith|3236|
hadith|3237|
hadith|3238|
hadith|3239|
chapter||The characteristics of Paradise, and the fact that it has already been created
chapter_intro||قَالَ أَبُو الْعَالِيَةِ مُطَهَّرَةٌ مِنَ الْحَيْضِ وَالْبَوْلِ وَالْبُزَاقِ. {كُلَّمَا رُزِقُوا} أُتُوا بِشَيْءٍ ثُمَّ أُتُوا بِآخَرَ {قَالُوا هَذَا الَّذِي رُزِقْنَا مِنْ قَبْلُ} أُتِينَا مِنْ قَبْلُ {وَأُتُوا بِهِ مُتَشَابِهًا} يُشْبِهُ بَعْضُهُ بَعْضًا، وَيَخْتَلِفُ فِي الطُّعُومِ {قُطُوفُهَا} يَقْطِفُونَ كَيْفَ شَاءُوا دَانِيَةٌ قَرِيبَةٌ. الأَرَائِكُ السُّرُرُ. وَقَالَ الْحَسَنُ: النَّضْرَةُ فِي الْوُجُوهِ وَالسُّرُورُ فِي الْقَلْبِ. وَقَالَ مُجَاهِدٌ: {سَلْسَبِيلاً} حَدِيدَةُ الْجِرْيَةِ. {غَوْلٌ} وَجَعُ الْبَطْنِ {يُنْزَفُونَ} لاَ تَذْهَبُ عُقُولُهُمْ وَقَالَ ابْنُ عَبَّاسٍ: {دِهَاقًا} مُمْتَلِئًا {كَوَاعِبَ} نَوَاهِدَ. الرَّحِيقُ الْخَمْرُ. التَّسْنِيمُ يَعْلُو شَرَابَ أَهْلِ الْجَنَّةِ {خِتَامُهُ} طِينُهُ {مِسْكٌ}، {نَضَّاخَتَانِ} فَيَّاضَتَانِ. يُقَالُ مَوْضُونَةٌ مَنْسُوجَةٌ، مِنْهُ وَضِينُ النَّاقَةِ. وَالْكُوبُ مَا لاَ أُذُنَ لَهُ وَلاَ عُرْوَةَ. وَالأَبَارِيقُ ذَوَاتُ الآذَانِ وَالْعُرَا. {عُرُبًا} مُثَقَّلَةً وَاحِدُهَا عَرُوبٌ، مِثْلُ صَبُورٍ وَصُبُرٍ، يُسَمِّيهَا أَهْلُ مَكَّةَ الْعَرِبَةَ، وَأَهْلُ الْمَدِينَةِ الْغَنِجَةَ، وَأَهْلُ الْعِرَاقِ الشَّكِلَةَ. وَقَالَ مُجَاهِدٌ: {رَوْحٌ} جَنَّةٌ وَرَخَاءٌ، {وَالرَّيْحَانُ} الرِّزْقُ، وَالْمَنْضُودُ الْمَوْزُ، وَالْمَخْضُودُ الْمُوقَرُ حَمْلاً وَيُقَالُ أَيْضًا لاَ شَوْكَ لَهُ، وَالْعُرُبُ الْمُحَبَّبَاتُ إِلَى أَزْوَاجِهِنَّ. وَيُقَالُ مَسْكُوبٌ جَارٍ، وَ{فُرُشٍ مَرْفُوعَةٍ} بَعْضُهَا فَوْقَ بَعْضٍ. {لَغْوًا} بَاطِلاً. {تَأْثِيمًا} كَذِبًا. أَفْنَانٌ أَغْصَانٌ {وَجَنَى الْجَنَّتَيْنِ دَانٍ} مَا يُجْتَنَى قَرِيبٌ. {مُدْهَامَّتَانِ} سَوْدَاوَانِ مِنَ الرِّيِّ.
hadith|3240|Telah bercerita kepa da kami [Ahmad bin Yunus] telah bercerita kepada kami [Al Laits] dari [Nafi'] dari ['Abdullah bin 'Umar radliallahu 'anhuma] bahwa Rasulullah shallallahu 'alaihi wasallam bersabda: "Jika seorang dari kalian meninggal dunia maka akan ditampakkan kepadanya tempat tinggalnya setiap pagi dan petang hari. Jika dia termasuk penduduk surga, maka akan melihat tinggalnya sebagai penduduk surga dan jika dia termasuk penduduk neraka, maka akan melihat tempat tinggalnya sebagai penduduk neraka
hadith|3241|Telah bercerita kepada kami [Abu Al Walid] telah bercerita kepada kami [Salm bin Zarir] telah bercerita kepada kami [Abu Raja'] dari ['Imran bin Husain] dari Nabi shallallahu 'alaihi wasallam: "Aku mendatangi, surga maka kulihat kebanyakan penduduknya adalah para faqir dan aku mendatangi neraka maka aku lihat kebanyakan penduduknya para wanita
hadith|3242|Telah bercerita kepada kami [Sa'id bin Abu Maryam] telah bercerita kepada kami [Al Laits] berkata telah bercerita kepadaku ['Uqail] dari [Ibnu Syihab] berkata telah mengabarkan kepadaku [Sa'id bin Al Musayyab] bahwa [Abu Hurairah radliallahu 'anhu] berkata; "Kami sedang bersama Rasulullah shallallahu 'alaihi wasallam ketika Beliau bersabda: "Ketika aku tertidur, aku (bermimpi) diperlihatkan surga, di dalamnya ada seorang wanita yang sedang berwudlu' di sisi istana. Aku bertanya: "Untuk siapakah istana itu". Mereka menjawab; "Untuk 'Umar bin Al Khtahthab". Maka kuingat kecemburuannya lalu aku pun berlalu. Maka 'Umar menangis seraya berkata; "Apakah patut aku cemburu kepadamu wahai Rasulullah?
hadith|3243|Telah bercerita kepada kami [Hajjaj bin Minhal] telah bercerita kepada kami [Hammam] berkata aku mendengar [Abu 'Imran Al Iawniy] dia bercerita dari [Abu Bakr bin 'Abdullah bin Qais Al Asy'ariy] dari [bapaknya] bahwa Nabi shallallahu 'alaihi wasallam bersabda: "(Di surga) ada kemah bundar melengkung terbuat dari mutiara yang menjulang ke langit sepanjang tiga puluh mil pada setiap sisinya di sediakan untuk orang beriman sebagai penghuninya, orang yang lain tidak dapat melihat mereka". [Abu 'Abdush Shamad] dan [Al Harits bin 'Ubaid] berkata dari [Abu 'Imran]: "Panjangnya enam puluh mil
hadith|3244|Telah bercerita kepada kami [Al Humaidiy] telah bercerita kepada kami [Sufyan] telah bercerita kepada kami [Abu Az Zanad] dari [Al A'raj] dari [Abu Hurairah radliallahu 'anhu] berkata; Rasulullah shallallahu 'alaihi wasallam bersabda: "Allah berfirman: "Aku telah menyediakan buat hamba-hamba-Ku yang shalih (kenikmatan) yang belum pernah mata melihatnya, telinga mendengarnya dan terbetik dari lubuk hati manusia". Bacalah firman-Nya jika kamu mau (QS as-Sajadah 17) yang artinya ("Tidak seorangpun yang mengetahui apa yang telah disediakan untuk mereka (kenikmatan) yang menyedapkan mata
hadith|3245|Telah bercerita kepada kami [Muhammad bin Muqatil] telah mengabarkan kepada kami ['Abdullah] telah mengabarkan kepada kami [Ma'mar] dari [Hammam bin Munabbih] dari [Abu Hurairah radliallahu 'anhu] berkata; Rasulullah shallallahu 'alaihi wasallam bersabda: "Rombongan pertama yang masuk surga rupa mereka seperti bentuk bulan saat purnama, mereka tidak akan pernah beringus, tidak meludah dan tidak pula membuang air besar (tinja). Alat perabot mereka di dalam surga terbuat dari emas, sisir-sisir mereka terbuat dari emas dan perak, lat penghnagtan mereka terbuat dari kayu cendana, keringat mereka seharum minyak misik. Setiap orang dari mereka memiliki dua istri (bidadari) yang sumsum tulangnya dapat kelihatan dari betis-betis mereka dari balik daging karena teramat sangat cantiknya. Tidak ada perselisihan (pertengkaran) di sana dan tidak ada pula saling benci. Hati mereka bagaikan hati yang satu yang senantiasa bertasbih pagi dan petang
hadith|3246|Telah bercerita kepada kami [Abu Al Yaman] telah mengabarkan kepada kami [Syu'aib] telah bercerita kepada kami [Abu Az Zanad] dari [Al A'raj] dari [Abu Hurairah radliallahu 'anhu] bahwa Rasulullah shallallahu 'alaihi wasallam bersabda: "Rombongan pertama yang memasuki surga rupa mereka bagaikan bulan saat purnama dan rombongan berikutnya yang mengiringi mereka bagaikan bintang yang sangat terang cahayanya. Hati mereka bagaikan hati seorang laki-laki yang tidak pernah berselisih dan saling membenci di antara mereka. Setiap orang dari mereka memiliki dua istri (bidadari) yang setiap istri itu sumsum tulangnya dapat kelihatan dari betis-betis mereka dari balik daging karena teramat sangat cantiknya. Tidak ada perselisihan (pertengkaran) di sana dan tidak ada pula saling benci. Hati mereka bagaikan hati yang satu yang senantiasa bertasbih pagi dan petang. Mereka tidak pernah sakit, tidak pernah beringus dan tidak pernah meludah. Perabotan mereka terbuat dari emas dan perak, sisir-sisir mereka terbuat dari emas dan tempat perapian mereka terbuat dari kayu cendana". Abu Al Yaman berkata; "Maksudnya kayu yang dibakar untuk wewangian". Keringat mereka seharum minyak misik". Mujahid berkata; 'al-Ibkar artinya awal fajar sedangkan al-'asyiyy condongnya matahari ke barat hingga akan terlihat akan terbenam
hadith|3247|Telah bercerita kepada kami [Muhammad bin Abu Bakr Al Muqaddamiy] telah bercerita kepada kami [Fudlail] dari [Abu Hazim] dari [Sahal bin Sa'ad radliallahu 'anhu] dari Nabi shallallahu 'alaihi wasallam bersabda: "Pasti akan masuk surga dari ummatku tujuh puluh ribu atau tujuh ratus ribu orang, yang pertamakali tidak bakalan masuk hingga yang terakhir kali masuk (masuk secara berbarengan). Wajah-wajah mereka bagaikan bentuk bulan saat purnama
hadith|3248|Telah bercerita kepada kami ['Abdullah bin Muhammad Al Ju'fiy] telah bercerita kepada kami [Yunus bin Muhammad] telah bercerita kepada kami [Syaiban] dari [Qatadah] telah bercerita kepada kami [Anas radliallahu 'anhu] berkata: "Nabi shallallahu 'alaihi wasallam dihadiahi baju jubah terbuat dari sutera tipis padahal sebelumnya Beliau pernah melarang memakai sutera. Lalu orang-orang pun menjadi terkagum-kagum karenanya. Maka Beliau bersabda: "Demi Dzat yang jiwa Muhammad berada di tangan-Nya, sungguh sapu tangan Sa'ad bin Mu'adz di surga lebih baik daripada ini
hadith|3249|Telah bercerita kepada kami [Musaddad] telah bercerita kepada kami [Yahya bin Sa'id] dari [Sufyan] berkata telah bercerita kepadaku [Abu Ishaq] berkata aku mendengar [Al Bara'bin 'Azib radliallahu 'anhuma] berkata; "Rasulullah shallallahu 'alaihi wasallam diberi hadiah berupa pakaian terbuat dari sutera lalu orang-orang terkagum-kagum dengan kebagusan dan kehalusan pakaian itu maka Rasulullah shallallahu 'alaihi wasallam bersabda: "Sungguh sapu tangan Sa'ad bin Mu'adz di surga lebih baik dari ini
hadith|3250|
hadith|3251|
hadith|3252,3253|
hadith|3254|
hadith|3255|
hadith|3256|
chapter||The characteristics of the gates of Paradise
chapter_intro||وَقَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: «مَنْ أَنْفَقَ زَوْجَيْنِ دُعِيَ مِنْ بَابُ الْجَنَّةِ». فِيهِ عُبَادَةُ عَنِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ.
hadith|3257|Telah bercerita kepada kami [Sa'id bin Abu Maryam] telah bercerita kepada kami [Muhammad bin Mutharrif] berkata telah bercerita kepadaku [Abu Hazim] dari [Sahal bin Sa'ad radliallahu 'anhu] dari Nabi shallallahu 'alaihi wasallam bersabda: "Di surga ada delapan pintu, diantaranya ada yang dinamakan pintu ar-Rayyan yang tidak akan memasukinya kecuali orang-orang yang berpuasa
chapter||The description of the (Hell) Fire and the fact that it has already been created
chapter_intro||{غَسَاقًا} يُقَالُ غَسَقَتْ عَيْنُهُ وَيَغْسِقُ الْجُرْحُ، وَكَأَنَّ الْغَسَاقَ وَالْغَسْقَ وَاحِدٌ. {غِسْلِينَ} كُلُّ شَيْءٍ غَسَلْتَهُ فَخَرَجَ مِنْهُ شَيْءٌ فَهُوَ غِسْلِينَ، فِعْلِينَ مِنَ الْغَسْلِ مِنَ الْجُرْحِ وَالدَّبَرِ. وَقَالَ عِكْرِمَةُ: {حَصَبُ جَهَنَّمَ} حَطَبُ بِالْحَبَشِيَّةِ. وَقَالَ غَيْرُهُ: {حَاصِبًا} الرِّيحُ الْعَاصِفُ، وَالْحَاصِبُ مَا تَرْمِي بِهِ الرِّيحُ، وَمِنْهُ حَصَبُ جَهَنَّمَ، يُرْمَى بِهِ فِي جَهَنَّمَ هُمْ حَصَبُهَا، وَيُقَالُ حَصَبَ فِي الأَرْضِ ذَهَبَ، وَالْحَصَبُ مُشْتَقٌّ مِنْ حَصْبَاءِ الْحِجَارَةِ. {صَدِيدٌ} قَيْحٌ وَدَمٌ. {خَبَتْ} طَفِئَتْ. {تُورُونَ} تَسْتَخْرِجُونَ، أَوْرَيْتُ أَوْقَدْتُ. {لِلْمُقْوِينَ} لِلْمُسَافِرِينَ، وَالْقِيُّ الْقَفْرُ. وَقَالَ ابْنُ عَبَّاسٍ صِرَاطُ الْجَحِيمِ سَوَاءُ الْجَحِيمِ وَوَسَطُ الْجَحِيمِ {لَشَوْبًا مِنْ حَمِيمٍ} يُخْلَطُ طَعَامُهُمْ وَيُسَاطُ بِالْحَمِيمِ. {زَفِيرٌ وَشَهِيقٌ} صَوْتٌ شَدِيدٌ، وَصَوْتٌ ضَعِيفٌ. {وِرْدًا} عِطَاشًا. {غَيًّا} خُسْرَانًا، وَقَالَ مُجَاهِدٌ: {يُسْجَرُونَ} تُوقَدُ بِهِمُ النَّارُ {وَنُحَاسٌ} الصُّفْرُ، يُصَبُّ عَلَى رُءُوسِهِمْ، يُقَالُ: {ذُوقُوا} بَاشِرُوا وَجَرِّبُوا، وَلَيْسَ هَذَا مِنْ ذَوْقِ الْفَمِ. مَارِجٌ خَالِصٌ مِنَ النَّارِ، مَرَجَ الأَمِيرُ رَعِيَّتَهُ إِذَا خَلاَّهُمْ يَعْدُو بَعْضُهُمْ عَلَى بَعْضٍ. {مَرِيجٍ} مُلْتَبِسٌ، مَرَجَ أَمْرُ النَّاسِ اخْتَلَطَ، {مَرَجَ الْبَحْرَيْنِ} مَرَجْتَ دَابَّتَكَ تَرَكْتَهَا.
hadith|3258|Telah bercerita kepada kami [Abu Al Walid] telah bercerita kepada kami [Syu'bah] dari [Muhajir Abu Al Hasan] berkata aku mendengar [Zaid bin Wahb] berkata aku mendengar [Abu Dzarr radliallahu 'anhu] berkata; "Pernah dalam suatu perjalanan Nabi shallallahu 'alaihi wasallam berkata: "Tundalah (shalat) ". Kemudian Beliau berkata lagi: "Tundalah, hingga kita melihat bayang-bayang bukit". Kemudian Beliau bersabda: "Tundalah shalat, karena panas yang sangat menyengat itu berasal dari hembusan api jahanam
hadith|3259|Telah bercerita kepada kami [Muhammad bin Yusuf] telah bercerita kepada kami [Sufyan] dari [Al A'masy] dari [Dzakwan] dari [Abu Sa'id radliallahu 'anhu] berkata; Nabi shallallahu 'alaihi wasallam bersabda: "Tundalah shalat, karena panas yang sangat menyengat itu berasal dari hembusan api jahanam
hadith|3260|Telah bercerita kepada kami [Abu Al Yaman] telah mengabarkan kepada kami [Syu'aib] dari [Az Zuhriy] berkata telah bercerita kepadaku [Abu Salamah bin 'Abdur Rahman] bahwa dia mendengar [Abu Hurairah radliallahu 'anhu] berkata; Rasulullah shallallahu 'alaihi wasallam bersabda: "Neraka mengadu kepada Rabbnya seraya berkata; "Wahai Tuhanku, sebagianku (api) saling memakan satu sama lain". Maka neraka diizinkan untuk berhembus dua kali. Satu kali pada saat musim dingin dan satu kali lagi pada saat musim panas. Maka hawa panas yang kamu rasakan merupakan hawa panas dari hembusan api neraka dan hawa dingin yang kamu rasakan merupakan hawa dingin dari zamharir (hawa dingin) jahannam
hadith|3261|Telah bercerita kepadaku ['Abdullah bin Muhammad] telah bercerita kepada kami [Abu 'Amir, dia adalahal-'Aqadiy] telah bercerita kepada kami [Hammam] dari [Abu Jamrah adl-Dluba'iy] berkata; "Aku pernah bermajelis dengan [Ibnu 'Abbas] di Makkah kemudian aku terkena penyakit panas, maka dia berkata; "Dinginkanlah penyakit itu dari kamu dengan mengunakan air zamzam karena Rasulullah shallallahu 'alaihi wasallam pernah bersabda: "Penyakit panas (demam) berasal dari hembusan api jahannam maka itu redakanlah dengan air", atau Beliau bersabda: "Dengan air zamzam". Dalam hal ini Hammam ragu
hadith|3262|Telah bercerita kepadaku ['Amru bin 'Abbas] telah bercerita kepada kami ['Abdur Rahman] telah bercerita kepada kami [Sufyan] dari [bapaknya] dari ['Abayah bin Rifa'ah] berkata telah mengabarkan kepadaku [Rafi' bin Khadij] berkata, aku mendengar Nabi shallallahu 'alaihi wasallam bersabda: "Penyakit panas (demam) berasal dari didihan api jahannam maka itu redakanlah dari kalian dengan air
hadith|3263|Telah bercerita kepada kami [Malik bin Ibrahim] telah bercerita kepada kami [Zuhair] telah bercerita kepada kami [Hisyam] dari ['Urwah] dari ['Aisyah radliallahu 'anhu] dari Nabi shallallahu 'alaihi wasallam bersabda: "Penyakit panas (demam) berasal dari didihan api jahannam maka redakanlah dengan air
hadith|3264|Telah bercerita kepada kami [Musaddad] dari [Yahya] dari ['Ubaidullah] berkata, telah bercerita kepadaku [Nafi'] dari [Ibnu 'Umar radliallahu 'anhuma] dari Nabi shallallahu 'alaihi wasallam bersabda: "Penyakit panas (demam) berasal dari didihan api jahannam maka redakanlah dengan air
hadith|3265|Telah bercerita kepada kami [Isma'il bin Abi Ywais] berkata telah bercerita kepadaku [Malik] dari [Abu Az Zanad] dari [Al A'raj] dari [Abu Hurairah radliallahu 'anhu] bahwa Rasulullah shallallahu 'alaihi wasallam bersabda: "Api kalian (di dunia ini) merupakan bagian dari tujuh puluh bagian api neraka jahannam". Ditanyakan kepada Beliau; "Wahai Rasulullah, satu bagian itu saja sudah cukup (untuk menyiksa pelaku maksiat)?" Beliau bersabda: "Ditambahkan atasnya dengan enam puluh sembilan kali lipat yang sama panasnya
hadith|3266|Telah bercerita kepada kami [Qutaibah bin Sa'id] telah bercerita kepada kami [Sufyan] dari ['Amru] dari ['Atha'] dia mengabarkan dari [Shafwan bin Ya'laa] dari [bapaknya] bahwa dia mendengar Nabi shallallahu 'alaihi wasallam membaca suatu ayat (QS az-Zukhruf ayat 77) di atas mimbar: "Wa naadaw yaa maalik (Mereka berseru; "hai maalik)
hadith|3267|Telah bercerita kepada kami ['Ali] telah bercerita kepada kami [Sufyan] dari [Al A'masy] dari [Abu Wa'il] berkata; "Dikatakan kepada [Usamah]; "Seandainya kamu temui fulan ('Utsman bin 'Affan radliallahu 'anhu) lalu kamu berbicara dengannya". Usamah berkata; "Sungguh jika kalian memandang aku tidak berbicara dengannya, selain bahkan kuperdengarkannya kepada kalian semua. Sungguh aku sudah berbicara kepadanya secara rahasia, dan aku tidak membuka suatu pembicaraan yang aku menjadi orang pertama yang membukanya. Aku juga tidak akan mengatakan kepada seseorang yang seandainya dia menjadi pemimpinklu, bahwa dia sebagai manusia yang lebih baik, setelah kudengar dari Rasulullah shallallahu 'alaihi wasallam". Mereka bertanya; "Apa yang kamu dengar dari sabda Beliau Shallallahu'alaihiwasallam ". Usamah berkata; "Aku mendengar Beliau bersabda: Pada hari qiyamat akan dihadirkan seseorang yang kemudian dia dilempar ke dalam neraka, isi perutnya keluar dan terburai hingga dia berputar-putar bagaikan seekor keledai yang berputar-putar menarik mesin gilingnya. Maka penduduk neraka berkumpul mengelilinginya seraya berkata; "Wahai fulan, apa yang terjadi denganmu?. Bukankah kamu dahulu orang yang memerintahkan kami berbuat ma'ruf dan melarang kami berbuat munkar?". Orang itu berkata; "Aku memang memerintahkan kalian agar berbuat ma'ruf tapi aku sendiri tidak melaksanakannya dan melarang kalian berbuat munkar, namun malah aku mengerjakannya". [Ghundar] meriwayatkannya dari [Syu'bah] dari [Al A'masy]
chapter||The characteristics of Iblis (Satan) and his soldiers
chapter_intro||وَقَالَ مُجَاهِدٌ: {يُقْذَفُونَ} يُرْمَوْنَ. {دُحُورًا} مَطْرُودِينَ. {وَاصِبٌ} دَائِمٌ. وَقَالَ ابْنُ عَبَّاسٍ: {مَدْحُورًا} مَطْرُودًا يُقَالُ: {مَرِيدًا} مُتَمَرِّدًا. بَتَّكَهُ قَطَّعَهُ. {وَاسْتَفْزِزْ} اسْتَخِفَّ. {بِخَيْلِكَ} الْفُرْسَانُ. وَالرَّجْلُ الرَّجَّالَةُ وَاحِدُهَا رَاجِلٌ مِثْلُ صَاحِبٍ وَصَحْبٍ، وَتَاجِرٍ وَتَجْرٍ، {لأَحْتَنِكَنَّ} لأَسْتَأْصِلَنَّ. {قَرِينٌ} شَيْطَانٌ.
hadith|3268|Telah bercerita kepada kami [Ibrahim bin Musa] telah mengabarkan kepada kami ['Isa] dari [Hisyam] dari [bapaknya] dari ['Aisyah Radliallahu 'anha] berkata; "Nabi shallallahu 'alaihi wasallam tekah disihir". Dan berkata [Al Laits]; " [Hisyam] menulis surat kepadaku bahwa dia mendengarnya, dia anggap dari [bapaknya] dari ['Aisyah radliallahu 'anhuma] berkata; "Nabi shallallahu 'alaihi wasallam telah disihir hingga terbayang oleh beliau seolah-olah berbuat sesuatu padahal tidak. Hingga pada suatu hari Beliau memanggil-manggil kemudian berkata: "Apakah kamu menyadari bahwa Allah telah memutuskan tentang kesembuhanku?. Telah datang kepadaku dua orang, satu diantaranya duduk dekat kepalaku dan yang satu lagi duduk di dekat kakiku. Yang satu bertanya kepada yang lainnya; "Sakit apa orang ini?". Yang lain menjawab; "Kena sihir". Yang satu bertanya lagi; "Siapa yang menyihirnya?". Yang lain menjawab; "Labid bin Al A'sham". Yang satu bertanya lagi; "Dengan cara apa?". DIjawab; "Dengan cara melalui sisir, rambut yang rontok saat disisir dan putik kembang kurma jantan". Yang satu bertanya lagi; "Sekarang sihir itu diletakkan dimana?". Yang lain menjawab; "Di sumur Dzarwan". Maka Nabi shallallahu 'alaihi wasallam pergi mendatangi tempat tersebut kemudian kembali dan berkata kepada 'Aisyah setelah kembali; "Putik kurmanya bagaikan kepala-kepala syetan". Aku bertanya; "Apakah telah baginda keluarkan?". Beliau berkata: "Tidak, karena Allah telah menyembuhkan aku. Namun aku khawatir bekasnya itu dapat mempengaruhi manusia maka sumur itu aku urug (timbun)
hadith|3269|Telah bercerita kepada kami [Isma'il bin Abu Uwais] berkata telah bercerita kepadaku [saudaraku] dari [Sulaiman bin Bilal] dari [Yahya bin Sa'id] dari [Sa'id bin Al Musayyab] dari [Abu Hurairah radliallahu 'anhu] bahwa Rasulullah shallallahu 'alaihi wasallam bersabda: "Syaitan mengikat tengkuk kepala seseorang dari kalian saat dia tidur dengan tiga tali ikatan, syaitan mengikatnya sedemikian rupa sehingga setiap ikatan diletakkan pada tempatnya lalu (dikatakan) 'Kamu akan melewati malam yang sangat panjang maka tidurlah dengan nyenyak.' Jika dia bangun dan mengingat Allah maka lepaslah satu tali ikatan. Jika kemudian dia berwudlu' maka lepaslah tali yang lainnya dan bila ia mendirikan shalat lepaslah seluruh tali ikatan dan pada pagi harinya ia akan merasakan semangat dan kesegaran yang menenteramkan jiwa. Namun bila dia tidak melakukan seperti itu, maka pagi harinya jiwanya merasa tidak segar dan menjadi malas beraktifitas
hadith|3270|Telah bercerita kepada kami ['Utsman bin Abu Syaibah] telah bercerita kepada kami [Jarir] dari [Manshur] dari [Abu Wa'il] dari ['Abdullah radliallahu 'anhu] berkata; "Dilaporkan kepada Nabi shallallahu 'alaihi wasallam seseorang yang tertidur melewati malamnya hingga pagi, maka Beliau bersabda: "Itulah orang yang dikencingi syaitan pada kedua telinganya", atau dia berkata: "pada telinganya
hadith|3271|Telah bercerita kepada kami [Musa bin Isma'il] telah bercerita kepada kami [Hammam] dari [Manshur] dari [Salim bin Abi Al Ja'di] dari [Kuraib] dari [Ibnu 'Abbas radliallahu 'anhuma] dari Nabi shallallahu 'alaihi wasallam bersabda: "Seseorang dari kalian apabila mendatangi istrinya (untuk berjima') kemudian membaca do'a; Allahumma jannibnasy syaithaana wa jannibisy syaithaana maa razaqtanaa" (Ya Allah, jauhkanlah kami dari setan dan jauhkanlah pula dari anak yang kelak Engkau karuniakan kepada kami), kemudian bila keduanya dikaruniai anak maka setan tidak akan dapat mencelakakan anak itu
hadith|3272,3273|
hadith|3274|
hadith|3275|Telah bercerita kepada kami [Abu Ma'mar] telah bercerita kepada kami ['Abdul Warits] telah bercerita kepada kami [Yunus] dari [Humaid bin Hilal] dari [Abu Shalih] dari [Abu Sa'id] berkata; Rasulullah shallallahu 'alaihi wasallam bersabda: "Jika ada seseorang lewat di hadapan salah seorang dari kalian yang sedang shalat, hendaklah dicegahnya. Jika tidak mau dicegahnya lagi dan jika tetap tidak mau, maka perangilah karena dia adalah syetan". Dan 'Utsman bin Al Haitsam berkata telah bercerita kepada kami 'Auf dari Muhammad bin Sirin dari Abu Hurairah radliallahu 'anhu berkata; Rasulullah shallallahu 'alaihi wasallam menugaskan aku menjaga harta zakat Ramadlan kemudian ada orang yang datang mencuri makanan namun aku merebutnya kembali, lalu aku katakan; "Aku pasti akan mengadukan kamu kepada Rasulullah shallallahu 'alaihi wasallam". Lalu Abu Hurairah radliallahu 'anhu menceritakan suatu hadits berkenaan masalah ini. Selanjutnya orang yang datang kepadanya tadi berkata; "Jika kamu hendak berbaring di atas tempat tidurmu, bacalah ayat Al Kursiy karena dengannya kamu selalu dijaga oleh Allah Ta'ala dan syetan tidak akan dapat mendekatimu sampai pagi". Maka Nabi shallallahu 'alaihi wasallam bersabda: "Benar apa yang dikatakannya padahal dia itu pendusta. Dia itu syetan
hadith|3276|Telah bercerita kepada kami [Yahya bin Bukair] telah bercerita kepada kami [Al Laits] dari ['Uqail] dari [Ibnu Syihab] berkata telah mengabarkan kepadaku ['Urwah bin Az Zubair], berkata [Abu Hurairah radliallahu 'anhu]; Rasulullah shallallahu 'alaihi wasallam bersabda: "Syetan senantiasa mendatangi salah seorang dari kalian seraya berkata; siapa yang menciptakan ini dan siapa yang menciptakan itu hingga akhirnya dia bertanya 'Lantas siapa yang menciptakan Tuhanmu?. Bila sudah sampai seperti itu maka hendaklah dia meminta perlindungan kepada Allah dan menghentikannya
hadith|3277|Telah bercerita kepada kami [Yahya bin Bukair] telah bercerita kepada kami [Al Laits] berkata telah bercerita kepadaku ['Uqail] dari [Ibnu Syihab] berkata telah bercerita kepadaku [Ibnu Abi Anas], mantan budak at-Taymiyyin bahwa [bapaknya] bercerita kepadanya bahwa dia mendengar [Abu Hurairah radliallahu 'anhu] berkata; Rasulullah shallallahu 'alaihi wasallam bersabda: "Apabila datang bulan Ramadlan pintu-pintu surga dibuka sedang pintu-pintu neraka ditutup dan syaitan-syaitan dibelenggu
