collection||Sharh Ma'āni Al-Āthār
hadith|4318|حَدَّثَنَا رَبِيعٌ الْجِيزِيُّ قَالَ: ثنا سَعِيدُ بْنُ كَثِيرِ بْنِ عُفَيْرٍ قَالَ: ثنا يَحْيَى بْنُ أَيُّوبَ , عَنِ ابْنِ جُرَيْجٍ , عَنْ عَطَاءٍ , عَنِ ابْنِ عَبَّاسٍ قَالَ: «مَا كَانَتِ الْمُتْعَةُ إِلَّا رَحْمَةً رَحِمَ اللهُ بِهَا هَذِهِ الْأُمَّةَ , وَلَوْلَا نَهْيُ عُمَرَ بْنِ الْخَطَّابِ عَنْهَا مَا زَنَى إِلَّا شَقِيٌّ» . قَالَ عَطَاءٌ: كَأَنِّي أَسْمَعُهَا مِنَ ابْنِ عَبَّاسٍ: إِلَّا شَقِيٌّ
hadith|4319|حَدَّثَنَا أَبُو بِشْرٍ الرَّقِّيُّ قَالَ: ثنا شُجَاعُ بْنُ الْوَلِيدِ , عَنْ لَيْثِ بْنِ أَبِي سُلَيْمٍ , عَنْ طَلْحَةَ بْنِ مُصَرِّفٍ , عَنْ خَيْثَمَةَ بْنِ عَبْدِ الرَّحْمَنِ , عَنْ أَبِي ذَرٍّ رَضِيَ اللهُ عَنْهُ قَالَ: «إِنَّمَا كَانَتْ مُتْعَةُ النِّسَاءِ لَنَا خَاصَّةً»
hadith|4320|حَدَّثَنَا صَالِحُ بْنُ عَبْدِ الرَّحْمَنِ قَالَ: ثنا سَعِيدٌ , قَالَ هِشَامٌ: أَخْبَرَنَا عَبْدُ الْمَلِكِ , عَنْ عَطَاءٍ , عَنْ جَابِرٍ , «أَنَّهُمْ كَانُوا يَتَمَتَّعُونَ مِنَ النِّسَاءِ , حَتَّى نَهَاهُمْ عُمَرُ»
hadith|4321|حَدَّثَنَا ابْنُ مَرْزُوقٍ قَالَ: ثنا وَهْبٌ قَالَ: ثنا شُعْبَةُ , عَنْ أَبِي جَمْرَةَ قَالَ: سَأَلْتُ ابْنَ عَبَّاسٍ عَنْ مُتْعَةِ النِّسَاءِ , فَقَالَ مَوْلًى لَهُ: إِنَّمَا كَانَ ذَلِكَ فِي الْغَزْوِ , وَالنِّسَاءُ قَلِيلٌ , فَقَالَ ابْنُ عَبَّاسٍ رَضِيَ اللهُ عَنْهُمَا: «صَدَقْتَ» ⦗٢٧⦘ قَالَ أَبُو جَعْفَرٍ: فَهَذَا عُمَرُ رَضِيَ اللهُ عَنْهُ قَدْ نَهَى عَنْ مُتْعَةِ النِّسَاءِ , بِحَضْرَةِ أَصْحَابِ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ , فَلَمْ يُنْكِرْ ذَلِكَ عَلَيْهِ مِنْهُمْ مُنْكِرٌ , وَفِي هَذَا دَلِيلٌ عَلَى مُتَابَعَتِهِمْ لَهُ عَلَى مَا نَهَى عَنْهُ مِنْ ذَلِكَ , وَفِي إِجْمَاعِهِمْ عَلَى النَّهْيِ فِي ذَلِكَ عَنْهَا , دَلِيلٌ عَلَى نَسْخِهَا وَحُجَّةٌ. ثُمَّ هَذَا ابْنُ عَبَّاسٍ رَضِيَ اللهُ عَنْهُمَا يَقُولُ: إِنَّمَا أُبِيحَتْ وَالنِّسَاءُ قَلِيلٌ أَيْ: فَلَمَّا كَثُرْنَ , ارْتَفَعَ الْمَعْنَى الَّذِي مِنْ أَجْلِهِ أُبِيحَتْ. وَقَالَ أَبُو ذَرٍّ رَضِيَ اللهُ عَنْهُ: إِنَّمَا كَانَتْ لَنَا خَاصَّةً , فَقَدْ يُحْتَمَلُ أَنْ يَكُونَ كَانَتْ لَهُمُ لِلْمَعْنَى الَّذِي ذَكَرَهُ عَبْدُ اللهِ بْنُ عَبَّاسٍ أَنَّهَا أُبِيحَتْ مِنْ أَجْلِهِ , وَأَمَّا قَوْلُ جَابِرٍ رَضِيَ اللهُ عَنْهُ: كُنَّا نَتَمَتَّعُ حَتَّى نَهَانَا عَنْهَا عُمَرُ فَقَدْ يَجُوزُ أَنْ يَكُونَ لَمْ يَعْلَمْ بِتَحْرِيمِ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِيَّاهَا , حَتَّى عَلِمَهُ مِنْ قَوْلِ عُمَرَ رَضِيَ اللهُ عَنْهُ. وَفِي تَرْكِهِ مَا قَدْ كَانَ رَسُولُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَبَاحَهُ لَهُمْ , دَلِيلٌ عَلَى أَنَّ الْحُجَّةَ قَدْ قَامَتْ عِنْدَهُ عَلَى نَسْخِ ذَلِكَ وَتَحْرِيمِهِ. فَوَجَبَ بِمَا ذَكَرْنَا , نَسْخُ مَا رَوَيْنَا فِي أَوَّلِ هَذَا الْبَابِ مِنْ إِبَاحَةِ مُتْعَةِ النِّسَاءِ. وَقَدْ قَالَ بَعْضُ أَهْلِ الْعِلْمِ: إِنَّ النِّكَاحَ إِذَا عُقِدَ عَلَى مُتْعَةِ أَيَّامٍ , فَهُوَ جَائِزٌ عَلَى الْأَبَدِ , وَالشَّرْطُ بَاطِلٌ. فَمِنَ الْحُجَّةِ عَلَى هَذَا الْقَوْلِ أَنَّ رَسُولَ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لَمَّا نَهَاهُمْ عَنِ الْمُتْعَةِ قَالَ لَهُمْ: مَنْ كَانَ عِنْدَهُ مِنْ هَذِهِ النِّسَاءِ اللَّاتِي يُتَمَتَّعُ بِهِنَّ شَيْءٌ , فَلْيُفَارِقْهُنَّ. فَدَلَّ ذَلِكَ عَلَى أَنَّ ذَلِكَ الْعَقْدَ الْمُتَقَدِّمَ , لَا يُوجِبُ دَوَامَ الْعَقْدِ لِلْأَبَدِ , لِأَنَّهُ لَوْ كَانَ يُوجِبُ دَوَامَ الْعَقْدِ لِلْأَبَدِ , لَكَانَ يُفْسَخُ الشَّرْطُ الَّذِي كَانَا تَعَاقَدَا بَيْنَهُمَا , وَلَا يُفْسَخُ النِّكَاحُ إِذَا كَانَ قَدْ ثَبَتَ عَلَى صِحَّةٍ وَجَوَازٍ قَبْلَ النَّهْيِ. فَفِي أَمْرِهِ إِيَّاهُمْ بِالْمُفَارَقَةِ , دَلِيلٌ عَلَى أَنَّ مِثْلَ ذَلِكَ الْعَقْدِ لَا يَجِبُ بِهِ مِلْكُ بُضْعٍ , وَهَذَا قَوْلُ أَبِي حَنِيفَةَ , وَأَبِي يُوسُفَ , وَمُحَمَّدٍ , رَحْمَةُ اللهِ عَلَيْهِمْ
hadith|4322|حَدَّثَنَا يُونُسُ قَالَ: أَخْبَرَنَا سُفْيَانُ , عَنْ أَيُّوبَ , عَنْ أَبِي قِلَابَةَ , عَنْ أَنَسٍ قَالَ: لِلْبِكْرِ سَبْعٌ , وَلِلثَّيِّبِ ثَلَاثٌ
hadith|4323|حَدَّثَنَا صَالِحٌ قَالَ: ثنا سَعِيدٌ قَالَ: ثنا هِشَامٌ قَالَ: أَخْبَرَنَا خَالِدٌ , عَنْ أَبِي قِلَابَةَ , عَنْ أَنَسٍ قَالَ: «إِذَا تَزَوَّجَ الْبِكْرَ عَلَى الثَّيِّبِ أَقَامَ عِنْدَهَا سَبْعًا , ثُمَّ قَسَمَ , وَإِذَا تَزَوَّجَ الثَّيِّبَ أَقَامَ عِنْدَهَا ثَلَاثًا» . ⦗٢٨⦘ قَالَ خَالِدٌ فِي حَدِيثِهِ: وَلَوْ قُلْتَ إِنَّهُ قَدْ رَفَعَ الْحَدِيثَ لَصَدَّقْتُ , وَلَكِنَّهُ قَالَ: السُّنَّةُ كَذَلِكَ
hadith|4324|حَدَّثَنَا إِبْرَاهِيمُ بْنُ مَرْزُوقٍ قَالَ: ثنا أَبُو دَاوُدَ قَالَ: ثنا شُعْبَةُ , عَنْ خَالِدٍ الْحَذَّاءِ قَالَ: سَمِعْتُ أَبَا قِلَابَةَ , يُحَدِّثُ عَنْ أَنَسٍ قَالَ: «السُّنَّةُ إِذَا تَزَوَّجَ الْبِكْرَ أَقَامَ عِنْدَهَا سَبْعًا , وَإِذَا تَزَوَّجَ الثَّيِّبَ أَقَامَ عِنْدَهَا ثَلَاثًا»
hadith|4325|حَدَّثَنَا أَبُو أُمَيَّةَ قَالَ: ثنا أَبُو نُعَيْمٍ قَالَ: ثنا سُفْيَانُ , عَنْ أَيُّوبَ , عَنْ أَبِي قِلَابَةَ , عَنْ أَنَسٍ , مِثْلَهُ
hadith|4326|حَدَّثَنَا صَالِحُ بْنُ عَبْدِ الرَّحْمَنِ قَالَ: ثنا عَبْدُ اللهِ بْنُ مَسْلَمَةَ الْقَعْنَبِيُّ قَالَ: ثنا مَالِكٌ , عَنْ حُمَيْدٍ الطَّوِيلِ , عَنْ أَنَسٍ قَالَ: «لِلْبِكْرِ سَبْعٌ , وَلِلثَّيِّبِ ثَلَاثٌ»
hadith|4327|حَدَّثَنَا يُونُسُ قَالَ: أَخْبَرَنَا ابْنُ وَهْبٍ , أَنَّ مَالِكًا أَخْبَرَهُ , فَذَكَرَ بِإِسْنَادِهِ مِثْلَهُ
hadith|4328|حَدَّثَنَا ابْنُ أَبِي دَاوُدَ قَالَ: ثنا أَبُو عُمَرَ الْحَوْضِيُّ قَالَ: ثنا خَالِدُ بْنُ عَبْدِ اللهِ , عَنْ حُمَيْدٍ , عَنْ أَنَسٍ قَالَ: «سُنَّةُ الْبِكْرِ سَبْعٌ , وَالثَّيِّبِ ثَلَاثًا»
hadith|4329|حَدَّثَنَا فَهْدٌ قَالَ: ثنا أَبُو غَسَّانَ قَالَ: ثنا زُهَيْرٌ قَالَ: ثنا حُمَيْدٌ , عَنْ أَنَسٍ قَالَ: «إِذَا تَزَوَّجَ الرَّجُلُ الْبِكْرَ وَعِنْدَهُ غَيْرُهَا , فَلَهَا سَبْعٌ , ثُمَّ يَقْسِمُ. وَإِذَا تَزَوَّجَ الثَّيِّبَ , فَثَلَاثٌ , ثُمَّ يَقْسِمُ»
hadith|4330|حَدَّثَنَا صَالِحٌ قَالَ: ثنا سَعِيدٌ قَالَ: ثنا هِشَامٌ قَالَ: أَخْبَرَنَا حُمَيْدٌ قَالَ: سَمِعْتُ أَنَسًا , يَقُولُ مِثْلَ ذَلِكَ , وَزَادَ أَنَّهُ قَالَ: وَلَوْ قُلْتَ: إِنَّهُ قَدْ رَفَعَ الْحَدِيثَ لَصَدَّقْتُ , وَلَكِنَّهُ قَالَ: السُّنَّةُ كَذَلِكَ
hadith|4331|حَدَّثَنَا صَالِحٌ قَالَ: ثنا سَعِيدٌ قَالَ: ثنا هِشَامٌ قَالَ: أَخْبَرَنَا حُمَيْدٌ قَالَ: ثنا أَنَسُ بْنُ مَالِكٍ , «أَنَّ رَسُولَ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لَمَّا أَصَابَ صَفِيَّةَ بِنْتَ حُيَيٍّ وَاتَّخَذَهَا أَقَامَ عِنْدَهَا ثَلَاثًا» قَالَ أَبُو جَعْفَرٍ: فَذَهَبَ قَوْمٌ إِلَى أَنَّ الرَّجُلَ إِذَا تَزَوَّجَ الثَّيِّبَ أَنَّهُ بِالْخِيَارِ , إِنْ شَاءَ سَبَّعَ لَهَا , وَسَبَّعَ لِسَائِرِ نِسَائِهِ وَإِنْ شَاءَ أَقَامَ عِنْدَهَا ثَلَاثًا , وَدَارَ عَلَى بَقِيَّةِ نِسَائِهِ يَوْمًا يَوْمًا , أَوْ لَيْلَةً لَيْلَةً , وَاحْتَجُّوا فِيمَا ذَكَرُوا بِهَذَا الْحَدِيثِ , وَبِحَدِيثِ أُمِّ سَلَمَةَ رَضِيَ اللهُ عَنْهَا
hadith|4332|كَمَا حَدَّثَنَا يُونُسُ قَالَ: أَخْبَرَنَا سُفْيَانُ , عَنْ عَبْدِ اللهِ بْنِ أَبِي بَكْرٍ , عَنْ عَبْدِ الْمَلِكِ بْنِ أَبِي بَكْرِ بْنِ عَبْدِ الرَّحْمَنِ قَالَ: لَمَّا بَنَى رَسُولُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بِأُمِّ سَلَمَةَ قَالَ لَهَا لَيْسَ بِكِ عَلَى أَهْلِكِ هَوَانٌ , إِنْ شِئْتِ سَبَّعْتُ لَكِ , وَإِلَّا فَثَلَّثْتُ , ثُمَّ أَدُورُ
hadith|4333|حَدَّثَنَا صَالِحٌ قَالَ: ثنا الْقَعْنَبِيُّ قَالَ: ثنا مَالِكٌ , ح ⦗٢٩⦘
hadith|4334|وَحَدَّثَنَا يُونُسُ قَالَ: أَخْبَرَنَا ابْنُ وَهْبٍ , أَنَّ مَالِكًا أَخْبَرَهُ , عَنْ عَبْدِ اللهِ بْنِ أَبِي بَكْرٍ , عَنْ عَبْدِ الْمَلِكِ بْنِ أَبِي بَكْرٍ , عَنْ أَبِي بَكْرِ بْنِ عَبْدِ الرَّحْمَنِ هُوَ ابْنُ الْحَارِثِ بْنِ عَبْدِ الرَّحْمَنِ أَنَّ رَسُولَ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ حِينَ تَزَوَّجَ أُمَّ سَلَمَةَ , فَأَصْبَحَتْ عِنْدَهُ قَالَ: «لَيْسَ بِكِ عَلَى أَهْلِكِ هَوَانٌ , إِنْ شِئْتِ سَبَّعْتُ عِنْدَكِ وَسَبَّعْتُ عِنْدَهُنَّ , وَإِنْ شِئْتِ ثَلَّثْتُ ثُمَّ دُرْتُ» قَالَتْ: ثَلِّثْ
hadith|4335|حَدَّثَنَا أَبُو أُمَيَّةَ قَالَ: ثنا عَلِيُّ بْنُ عَبْدِ اللهِ بْنِ جَعْفَرٍ قَالَ: ثنا يَحْيَى بْنُ سَعِيدٍ قَالَ: ثنا سُفْيَانُ قَالَ: ثنا مُحَمَّدُ بْنُ أَبِي بَكْرٍ قَالَ: حَدَّثَنِي عَبْدُ الْمَلِكِ بْنُ أَبِي بَكْرِ بْنِ عَبْدِ الرَّحْمَنِ بْنِ الْحَارِثِ بْنِ هِشَامٍ , عَنْ أَبِيهِ , عَنْ أُمِّ سَلَمَةَ , أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ لِأُمِّ سَلَمَةَ , حِينَ تَزَوَّجَهَا: «مَا بِكِ عَلَى أَهْلِكِ هَوَانٌ , إِنْ شِئْتِ سَبَّعْتُ لَكِ , وَإِنْ سَبَّعْتُ لَكِ , سَبَّعْتُ لِنِسَائِي» قَالُوا: فَلَمَّا قَالَ رَسُولُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِنْ شِئْتِ سَبَّعْتُ لَكِ , وَإِلَّا فَثَلَّثْتُ , ثُمَّ أَدُورُ دَلَّ ذَلِكَ عَلَى أَنَّ الثَّلَاثَ حَقٌّ لَهَا دُونَ سَائِرِ النِّسَاءِ. وَخَالَفَهُمْ فِي ذَلِكَ آخَرُونَ , فَقَالُوا: إِنْ ثَلَّثَ لَهَا , ثَلَّثَ لِسَائِرِ نِسَائِهِ , وَإِنْ سَبَّعَ لَهَا , سَبَّعَ لِسَائِرِ نِسَائِهِ. وَاحْتَجُّوا فِي ذَلِكَ بِحَدِيثِ أُمِّ سَلَمَةَ رَضِيَ اللهُ عَنْهَا أَنَّ رَسُولَ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ لَهَا: إِنْ سَبَّعْتُ عِنْدَكِ , سَبَّعْتُ عِنْدَهُنَّ
hadith|4336|حَدَّثَنَا عَلِيُّ بْنُ شَيْبَةَ قَالَ: ثنا يَزِيدُ بْنُ هَارُونَ قَالَ: أَخْبَرَنَا حَمَّادُ بْنُ سَلَمَةَ ح
hadith|4337|وَحَدَّثَنَا ابْنُ أَبِي دَاوُدَ قَالَ: ثنا أَبُو سَلَمَةَ مُوسَى بْنُ إِسْمَاعِيلَ الْمُنْقِرِيُّ قَالَ: ثنا حَمَّادُ بْنُ سَلَمَةَ , عَنْ ثَابِتٍ ح
hadith|4338|وَحَدَّثَنَا ابْنُ أَبِي دَاوُدَ قَالَ: ثنا آدَمُ بْنُ أَبِي إِيَاسٍ قَالَ: ثنا سُلَيْمَانُ بْنُ الْمُغِيرَةِ , عَنْ ثَابِتٍ , عَنْ عُمَرَ بْنِ أَبِي سَلَمَةَ، عَنْ أُمِّ سَلَمَةَ رَضِيَ اللهُ تَعَالَى عَنْهَا، أَنَّ رَسُولَ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ لَهَا لَمَّا بَنَى بِهَا وَأَصْبَحَتْ عِنْدَهُ: «إِنْ شِئْتِ سَبَّعْتُ لَكِ وَإِنْ سَبَّعْتُ لَكِ سَبَّعْتُ لِنِسَائِي»
hadith|4339|حَدَّثَنَا رَوْحُ بْنُ الْفَرَجِ قَالَ: ثنا أَحْمَدُ بْنُ صَالِحٍ قَالَ: ثنا عَبْدُ الرَّزَّاقِ قَالَ: أَخْبَرَنَا ابْنُ جُرَيْجٍ قَالَ: أَخْبَرَنِي حَبِيبُ بْنُ أَبِي ثَابِتٍ , أَنَّ عَبْدَ الْحَمِيدِ بْنَ عَبْدِ اللهِ بْنِ أَبِي عَمْرٍو , وَالْقَاسِمَ بْنَ مُحَمَّدِ بْنِ عَبْدِ الرَّحْمَنِ أَخْبَرَاهُ , أَنَّهُمَا سَمِعَا أَبَا بَكْرِ بْنَ عَبْدِ الرَّحْمَنِ بْنِ الْحَارِثِ , يُخْبِرُ عَنْ أُمِّ سَلَمَةَ , زَوْجِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَرَضِيَ اللهُ عَنْهَا أَنَّهَا أَخْبَرَتْهُ , فَذَكَرَ عَنْ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مِثْلَهُ. قَالُوا: فَلَمَّا قَالَ لَهَا رَسُولُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِنْ سَبَّعْتُ لَكِ , سَبَّعْتُ لِنِسَائِي أَيْ: أَعْدِلُ بَيْنَكِ وَبَيْنَهُنَّ , فَأَجْعَلُ لِكُلِّ وَاحِدَةٍ مِنْهُنَّ سَبْعًا , كَمَا أَقَمْتُ عِنْدَكِ سَبْعًا. كَانَ كَذَلِكَ أَيْضًا إِذَا جَعَلَ لَهَا ثَلَاثًا , جَعَلَ لِكُلِّ وَاحِدَةٍ مِنْهُنَّ كَذَلِكَ أَيْضًا. وَقَالَ أَصْحَابُ الْمَقَالَةِ الْأُولَى: فَمَا مَعْنَى قَوْلِهِ: ثُمَّ أَدُورُ؟ . ⦗٣٠⦘ قِيلَ لَهُمْ: يَحْتَمِلُ , ثُمَّ أَدُورُ بِالثَّلَاثِ عَلَيْهِنَّ جَمِيعًا , لِأَنَّهُ لَوْ كَانَتِ الثَّلَاثُ حَقًّا لَهَا دُونَ سَائِرِ النِّسَاءِ , لَكَانَ إِذَا أَقَامَ عِنْدَهَا سَبْعًا , كَانَتْ ثَلَاثٌ مِنْهُنَّ غَيْرَ مَحْسُوبَةٍ عَلَيْهَا , وَلَوَجَبَ أَنْ يَكُونَ لِسَائِرِ النِّسَاءِ أَرْبَعٌ أَرْبَعٌ فَلَمَّا كَانَ الَّذِي لِلنِّسَاءِ إِذَا أَقَامَ عِنْدَهَا سَبْعًا سَبْعًا , لِكُلِّ وَاحِدَةٍ مِنْهُنَّ , كَانَ كَذَلِكَ إِذَا أَقَامَ عِنْدَهَا ثَلَاثًا , لِكُلِّ وَاحِدَةٍ مِنْهُنَّ ثَلَاثٌ ثَلَاثٌ. هَذَا هُوَ النَّظَرُ الصَّحِيحُ , مَعَ اسْتِقَامَةِ تَأْوِيلِ هَذِهِ الْآثَارِ عَلَيْهِ , وَهُوَ قَوْلُ أَبِي حَنِيفَةَ , وَأَبِي يُوسُفَ , وَمُحَمَّدٍ , رَحْمَةُ اللهِ عَلَيْهِمْ أَجْمَعِينَ
hadith|4340|حَدَّثَنَا إِبْرَاهِيمُ بْنُ مُحَمَّدِ بْنِ يُونُسَ , وَصَالِحُ بْنُ عَبْدِ الرَّحْمَنِ , قَالَا: ثنا عَبْدُ اللهِ بْنُ يَزِيدَ الْمُقْرِيِّ قَالَ: ثنا سَعِيدُ بْنُ أَبِي أَيُّوبَ , عَنْ أَبِي الْأَسْوَدِ مُحَمَّدِ بْنِ عَبْدِ الرَّحْمَنِ بْنِ نَوْفَلٍ , عَنْ عُرْوَةَ , عَنْ عَائِشَةَ قَالَتْ: حَدَّثَتْنِي جُدَامَةُ قَالَتْ: ذُكِرَ عِنْدَ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ الْعَزْلُ , فَقَالَ: «ذَلِكَ الْوَأْدُ الْخَفِيُّ»
hadith|4341|حَدَّثَنَا ابْنُ أَبِي دَاوُدَ قَالَ: ثنا ابْنُ أَبِي مَرْيَمَ قَالَ: ثنا يَحْيَى بْنُ أَيُّوبَ قَالَ أَخْبَرَنِي أَبُو الْأَسْوَدِ قَالَ: ثنا عُرْوَةُ , عَنْ عَائِشَةَ , عَنْ جُدَامَةَ بِنْتِ وَهْبٍ الْأَسْدِيَّةِ , عَنْ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ , مِثْلَهُ
hadith|4342|حَدَّثَنَا رَبِيعٌ الْجِيزِيُّ قَالَ: ثنا أَبُو زُرْعَةَ قَالَ: قَالَ أَخْبَرَنَا حَيْوَةُ , عَنْ أَبِي الْأَسْوَدِ , أَنَّهُ سَمِعَ عُرْوَةَ , يُحَدِّثُ عَنْ عَائِشَةَ , عَنْ جُدَامَةَ عَنْ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ , مِثْلَهُ. قَالَ أَبُو جَعْفَرٍ: فَكَرِهَ قَوْمٌ الْعَزْلَ لِهَذَا الْأَثَرِ الْمَرْوِيِّ فِي كَرَاهَةِ ذَلِكَ وَخَالَفَهُمْ فِي ذَلِكَ آخَرُونَ , فَلَمْ يَرَوْا بِهِ بَأْسًا إِذَا أَذِنَتِ الْحُرَّةُ لِزَوْجِهَا فِيهِ , فَإِنْ مَنَعَتْهُ مِنْ ذَلِكَ لَمْ يَسَعْهُ أَنْ يَعْزِلَ عَنْهَا. وَقَدْ خَالَفَهُمْ فِي هَذَا قَوْمٌ آخَرُونَ فَقَالُوا: لَهُ أَنْ يَعْزِلَ عَنْهَا , إِنْ شَاءَتْ أَوْ أَبَتْ. وَالْقَوْلُ الْأَوَّلُ فِي هَذَا - عِنْدَنَا - أَصَحُّ الْقَوْلَيْنِ , وَذَلِكَ أَنَّا رَأَيْنَا الزَّوْجَ لَهُ أَنْ يَأْخُذَ الْمَرْأَةَ بِأَنْ يُجَامِعَهَا وَإِنْ كَرِهَتْ ذَلِكَ , وَلَهُ أَنْ يَأْخُذَهَا بِأَنْ يُفْضِيَ إِلَيْهَا وَلَا يَعْزِلَ عَنْهَا. فَكَانَ لَهُ أَنْ يَأْخُذَهَا بِأَنْ يُفْضِيَ إِلَيْهَا فِي جِمَاعِهِ إِيَّاهَا , كَمَا يَأْخُذُهَا بِأَنْ يُجَامِعَهَا. وَكَانَ لِلْمَرْأَةِ أَنْ تَأْخُذَ زَوْجَهَا بِأَنْ يُجَامِعَهَا , فَكَانَ لَهَا أَنْ تَأْخُذَهُ بِأَنْ يُفْضِيَ إِلَيْهَا , كَمَا لَهُ أَنْ يَأْخُذَهَا بِأَنْ يُجَامِعَهَا وَأَنْ يُفْضِيَ إِلَيْهَا وَكَانَ حَقُّ كُلِّ وَاحِدٍ مِنْهُمَا فِي ذَلِكَ عَلَى صَاحِبِهِ سَوَاءً , وَكَانَ مِنْ حَقِّهِ أَنْ يُفْضِيَ إِلَيْهَا فِي جِمَاعِهَا إِنْ أَحَبَّتْ وَإِنْ هَرَّتْ _ أَيْ كَرِهَتْ _ هِيَ ذَلِكَ. ⦗٣١⦘ فَالنَّظَرُ - عَلَى مَا ذَكَرْنَا - أَنْ يَكُونَ كَذَلِكَ مِنْ حَقِّهَا هِيَ أَيْضًا عَلَيْهِ , أَنْ يُفْضِيَ إِلَيْهَا فِي جِمَاعِهِ إِيَّاهَا إِنْ أَحَبَّ ذَلِكَ وَإِنْ كَرِهَ. وَهَذَا هُوَ النَّظَرُ فِي هَذَا , وَهُوَ قَوْلُ أَبِي حَنِيفَةَ , وَأَبِي يُوسُفَ , وَمُحَمَّدٍ , رَحْمَةُ اللهِ عَلَيْهِمْ. وَلِلْمَوْلَى فِي قَوْلِهِمْ جَمِيعًا عِنْدَ مَنْ كَرِهَ الْعَزْلَ أَصْلًا , أَنْ يُجَامِعَ أَمَتَهُ وَيَعْزِلَ عَنْهَا فِي جِمَاعِهِ , وَلَا يَسْتَأْذِنَهَا فِي ذَلِكَ وَإِنْ كَانَتْ لِرَجُلٍ زَوْجَةٌ مَمْلُوكَةٌ , فَأَرَادَتْ أَنْ يَعْزِلَ عَنْهَا , فَإِنَّ أَبَا حَنِيفَةَ وَأَبَا يُوسُفَ , وَمُحَمَّدًا , رَحْمَةُ اللهِ عَلَيْهِمْ كَانُوا يَقُولُونَ فِي ذَلِكَ - فِيمَا
hadith|4343|حَدَّثَنِي مُحَمَّدُ بْنُ الْعَبَّاسِ , عَنْ عَلِيِّ بْنِ مَعْبَدٍ , عَنْ مُحَمَّدِ بْنِ الْحَسَنِ , عَنْ أَبِي يُوسُفَ عَنْ أَبِي حَنِيفَةَ رَحْمَةُ اللهِ عَلَيْهِمْ - أَنَّ الْإِذْنَ فِي ذَلِكَ إِلَى مَوْلَى الْأَمَةِ. وَقَدْ رُوِيَ عَنْ أَبِي يُوسُفَ خِلَافُ هَذَا الْقَوْلِ
