collection||مصنف ابن أبي شيبة
hadith|20986|حدثنا أبو بكر قال حدثنا محمد بن ميسر عن بن جريج عن عطاء قال دخلت على بن عباس وغلام له يحجمه قال يا بن عباس ما تصنع بخراج هذا قال آكله وأوكله وأشار بيده إلى فيه
hadith|20987|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا أبو جناب عن أبي جميلة الطهوي قال سمعت عليا يقول احتجم رسول الله صلى الله عليه وسلم ثم قال للحجام حين فرغ كم خراجك قال صاعان قال فوضع عنه صاعا قال فأمرني فأعطيته صاعا
hadith|20988|حدثنا أبو بكر قال حدثنا وكيع عن يزيد بن إبراهيم عن بن عباس قال احتجم رسول الله صلى الله عليه وسلم وآجره ولو كان به بأس لم يعطه
hadith|20989|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا موسى بن علي بن رباح عن أبيه قال كنت عند بن عباس فأتته امرأة فقالت إني امرأة من أهل العراق ولي غلام حجام ويزعم أهل العراق أني آكل ثمن الدم فقال إنهم لا يزعمون شيئا إنما تأكلين خراج غلامك ولست تأكلين ثمن الدم
hadith|20990|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا عمر بن فروخ عن حبيب بن الزبير عن عكرمة قال احتجم رسول الله صلى الله عليه وسلم وأعطى الحجام عمالته دينارا
hadith|20991|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا معتمر بن سليمان عن أبي جعفر قال لا بأس ان يحتجم الرجل ولا يشارط
hadith|20992|حدثنا أبو بكر قال حدثنا بن عيينة عن عمرو عن عطاء عن سعيد قال سمعت أبا هريرة يقول هو سحت
hadith|20993|حدثنا أبو بكر قال حدثنا يحيى بن سعيد القطان عن سعيد عن منصور عن إبراهيم قال كانوا يكرهون كسب الحجام
hadith|20994|حدثنا أبو بكر قال حدثنا بن أبي ليلى عن عطاء عن أبي هريرة قال نهى رسول الله صلى الله عليه وسلم عن كسب الحجام
hadith|20995|حدثنا أبو بكر قال حدثنا بن أبي زائدة عن عبد الجبار بن عباس عن عون بن أبي جحيفة أن أباه اشترى غلاما له حجاما فكسر محاجمه وقال نهى النبي صلى الله عليه وسلم عن ثمن الدم
hadith|20996|حدثنا أبو بكر قال حدثنا هشيم [ عن هشام ] بن عروة عن أبيه أن غلمة من الأنصار كان لهم غلام حجام فأمرهم النبي صلى الله عليه وسلم أن يجعل كسبه في علف الناضح
hadith|20997|حدثنا أبو بكر قال حدثنا عفان قال حدثنا ابان العطار عن يحيى بن أبي كثير عن إبراهيم بن عبد الله بن قارظ عن السائب بن يزيد عن رافع بن خديج عن النبي صلى الله عليه وسلم قال كسب الحجام خبيث ومهر البغي خبيث وثمن الكلب خبيث
hadith|20998|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا سفيان عن منصور وأبي هاشم عن إبراهيم أنه كره كسب الحجام
chapter||121 ) الرجل يتصدق بالصدقة ثم يردها إليه الميراث
hadith|20999|حدثنا أبو بكر قال حدثنا عبد الله بن نمير عن عبد الله بن عطاء عن بن بريدة عن أبيه قال جاءت امرأة إلى النبي صلى الله عليه وسلم فقالت إني تصدقت على أمي بجارية فماتت أمي وبقيت الجارية فقال لها وجب اجرك ورجعت إليك في الميراث
hadith|21000|حدثنا أبو بكر قال حدثنا بن علية عن أيوب عن حميد بن هلال أن رجلا منهم تصدق على أمه بأمة فكاتبتها ثم توفيت أمه فسأل عمران بن حصين فقال أنت ترث أمك وإن شئت وجهتها في الوجه الذي كنت وجهتها فيه قال حميد فلقد رأيتها يقال لها لبنيه
hadith|21001|حدثنا أبو بكر قال حدثنا عباد بن العوام عن عمر بن عامر عن قتادة عن سعيد بن المسيب في الرجل يتصدق بالصدقة ثم يرثها قال إذا ردها إليه كتاب الله فلا بأس بها قال وقال قتادة كان بن مسعود يقول ذلك
hadith|21002|حدثنا أبو بكر قال حدثنا هشيم عن مغيرة عن إبراهيم أنه كان يقول في الصدقة إذا ورثها يجعلها في مثل الوجه الذي كانت فيه
hadith|21003|حدثنا أبو بكر قال حدثنا هشيم عن العوام عن إبراهيم التيمي مثل ذلك
hadith|21004|حدثنا أبو بكر قال حدثنا هشيم عن حصين عن الشعبي عن شريح أنه كان لا يرى بأسا أن يأكلها
hadith|21005|حدثنا أبو بكر قال حدثنا هشيم عن يونس عن الحسن أنه كان لا يرى بأسا أن يأكلها
hadith|21006|حدثنا أبو بكر قال حدثنا هشيم عن سيار عن الشعبي قال كل فإن الله لم يكن ليطعمك حراما
hadith|21007|حدثنا أبو بكر قال حدثنا هشيم عن داود عن عامر عن مسروق قال ما رد عليك سهام الفرائض فهو لك حلال
hadith|21008|حدثنا أبو بكر قال حدثنا يزيد بن هارون عن العوام عن إبراهيم التيمي أن عمر كان إذا كانت صدقة فردها عليه حق يرى أن يوجهها في مثل ما كانت فيه
hadith|21009|حدثنا أبو بكر قال حدثنا يزيد [ عن بن ] العوام عن عكرمة عن بن عباس قال إذا ردها إليه حق فلا بأس
hadith|21010|حدثنا أبو بكر قال حدثنا وكيع عن بن أبي ليلى عن الشعبي في الرجل يتصدق بالصدقة ثم يرثها قال إن السهام لم تردها إلا حلالا
hadith|21011|حدثنا أبو بكر قال حدثنا عبد الله بن نمير عن عبد الملك عن عطاء في الرجل يتصدق بالصدقة ثم ترجع إليه في الميراث قال يجعلها من حصة غيره
hadith|21012|حدثنا أبو بكر قال حدثنا وكيع عن [ مورع ] قال سألت الشعبي عنها فقال إن أخذها فلا بأس وإن امضاها أفضل
hadith|21013|حدثنا أبو بكر قال حدثنا وكيع عن شعبة عن حماد عن إبراهيم قال يجعلها في مثلها
hadith|21014|حدثنا أبو بكر قال حدثنا بن علية عن سليمان التيمي عن أبي عثمان قال قال عمر السائبة والصدقة ليومهما
chapter||122 ) في الرجل يقرض الرجل القرض
hadith|21015|حدثنا عبد الله بن يونس قال حدثنا عبد الرحمن بقي بن مخلد قال حدثنا أبو بكر عبد الله بن محمد بن أبي شيبة قال حدثنا علي بن مسهر عن الشيباني عن محمد بن زيد عن إبن عمر في الرجل يقرض الرجل الدرهم ثم يأخذ بقيمتها طعاما أنه كرهه
hadith|21016|حدثنا أبو بكر قال حدثنا علي بن مسهر عن الشيباني عن سعيد بن جبير وحماد عن عكرمة قال كانوا [ لا ] يرون بذلك بأسا
hadith|21017|حدثنا أبو بكر قال حدثنا معتمر بن سليمان عن ليث عن طاوس قال إذا كان أصل الحق دينا فلا تأخذ منه إلا ما بعته به فإن كان قرضا فلا يضرك أن تأخذ غير ما أقرضته
hadith|21018|حدثنا أبو بكر قال حدثنا جرير عن مغيرة عن إبراهيم قال لا بأس إذا كان للرجل على الرجل الدرهم فأتاه فتقاضاه فقال خذ بحقك شعيرا أو حنطة أو تمرا أو شيئا غير الذهب قال إذا كانت دراهمه قرضا فإنه يأخذ بها ما شاء
hadith|21019|حدثنا أبو بكر قال حدثنا يحيى بن سعيد القطان عن بن حرملة قال بعت جذورا بدراهم إلى الحصاد فلما حل قضوني الحنطة والشعير والسلت فسألت سعيد بن المسيب فقال لا يصلح لا تأخذ إلا الدراهم
hadith|21020|حدثنا أبو بكر قال حدثنا محمد بن ميسر عن بن جريج عن أبي الزبير عن جابر قال إذا كان للرجل على الرجل الدين فلا بأس أن يشتري منه عبدا رخيصا
chapter||123 ) في الرجل يعطي الرجل الدرهم بالارض ويأخذ بغيرها
hadith|21021|حدثنا أبو بكر قال حدثنا حفص بن غياث عن عبيد الله بن عبد الرحمن بن موهب عن حفص بن المعتمر عن أبيه ان عليا قال لا بأس ان يعطي المال بالمدينة ويأخذ بأفريقية
hadith|21022|حدثنا أبو بكر قال حدثنا عيسى بن يونس عن عبيد الله بن عبد الرحمن بن موهب عن حفص بن المعتمر عن أبيه عن علي بنحوه
hadith|21023|حدثنا أبو بكر قال حدثنا حفص عن حجاج عن عطاء عن بن عباس وبن الزبير أنهما كانا لا يريان بأسا أن يأخذ المال بأرض الحجاز ويعطي بأرض العراق أو يأخذ بأرض العراق ويعطى بأرض الحجاز
hadith|21024|حدثنا أبو بكر قال حدثنا حفص عن حجاج عن أبي مسكين وخارجة عمن حدثه عن الحسن بن علي على أنه كان يأخذ المال بالحجاز ويعطيه بالعراق أو بالعراق ويعطيه بالحجاز
hadith|21025|حدثنا أبو بكر قال حدثنا حفص عن حجاج قال كان عبد الرحمن بن الأسود يأخذ الدرهم بالحجاز ويعطيه بالعراق
hadith|21026|حدثنا أبو بكر قال حدثنا بن علية عن بن عون عن محمد أنه كان لا يرى بأسا أن يدفع الدرهم بالبصرة ويأخذها بالكوفة
hadith|21027|حدثنا أبو بكر قال حدثنا وكيع عن بن عون عن محمد قال لا بأس بالسفتجة
hadith|21028|حدثنا أبو بكر قال حدثنا وكيع عن أبي عميس عن يزيد بن جعدبة عن عبيد بن السباق عن زينب الثقفية امرأة عبد الله أن النبي صلى الله عليه وسلم أعطاها جذاذ خمسين وسقا ثمرا وعشرين وسقا شعيرا فقال لها عاصم بن عدي إن شئت وفيتكيها هنا بالمدينة وتوفيها بخيبر فقالت حتى اسأل أمير المؤمنين عمر فسألته فقال وكيف بالضمان
hadith|21029|حدثنا أبو بكر قال حدثنا وكيع عن بن جريج عن عطاء ان بن الزبير كان يعطي التجار المال ها هنا ويأخذ منهم بأرض أخرى فذكرت أو ذكر ذلك لابن عباس فقال لا بأس ما لم يشترط
hadith|21030|حدثنا أبو بكر قال حدثنا غندر عن شعبة عن الحكم عن إبراهيم قال لا بأس بالسفتجة وكان ميمون بن أبي شبيب يكرهها
hadith|21031|حدثنا أبو بكر قال حدثنا حميد بن عبد الرحمن الرواسي عن دينار قال سألت الحسن اعطي الصراف الدرهم بالبصرة وآخذ السفتجة آخذ مثل دراهمي بالكوفة فقال إنما يفعل ذلك من أجل اللصوص لا خير في قرض جر منفعة
chapter||124 ) في شهادة الصبيان
hadith|21032|حدثنا أبو بكر قال حدثنا جرير عن منصور عن إبراهيم أنه كان يقول شهادة الصبيان بعضهم على بعض
hadith|21033|حدثنا أبو بكر قال حدثنا علي بن مسهر عن هشام بن عروة عن أبيه انه كان يقول شهادة الصبيان تجوز فيما بينهم ويؤخذ بأول قولهم
hadith|21034|حدثنا أبو بكر قال حدثنا وكيع عن بن جريج عن بن أبي مليكة عن بن عباس في شهادة الصبيان قال قال الله تعالى ممن ترضون من الشهداء 1 وليسوا ممن يرضون قال بن الزبير هم أحرى إذا سئلوا عما رأوا أن يشهدوا قال بن أبي مليكة فما رأيت القضاة أخذت إلا بقول بن الزبير
hadith|21035|حدثنا أبو بكر قال حدثنا حاتم بن وردان عن يونس عن الحسن قال لا تجوز شهادة الصبيان على الكبار وتجوز شهادة الصبيان بعضهم على بعض إذا فرق بينهم
hadith|21036|حدثنا أبو بكر قال حدثنا شريك عن عبد الأعلى عن شريح أنه كان يجيز شهادة الصبيان على السن والموضحة ويتأباهم فيما سوى ذلك
hadith|21037|حدثنا أبو بكر قال حدثنا عيسى بن يونس عن عبد الأعلى عن أبي بكر بن مريم قال سمعت مكحولا يقول إذا بلغ الغلام خمسة عشر جازت شهادته
hadith|21038|حدثنا أبو بكر قال حدثنا أبو معاوية عن عبيد الله بن عمر عن داود بن الحصين قال شهدت غلاما عند قاض من قضاة أهل المدينة يقال له سلمة بن عبد الرحمن المخزومي فأرسل إلى القاسم وسالم فسألهما عن شهادته قالا إن كان أنبت فأجز شهادته
hadith|21039|حدثنا أبو بكر قال حدثنا بن علية عن بن عون عن بن سيرين أنه قال في شهادة الصبيان تكتب شهادتهم ويستثبتون
hadith|21040|حدثنا أبو بكر قال حدثنا معاذ بن معاذ عن أشعث عن محمد بن عبد الرحمن قال يستثبتون
hadith|21041|حدثنا أبو بكر قال حدثنا بن أبي زائدة عن حجاج عن عطاء عن بن عباس قال لا تجوز شهادة الصبي
hadith|21042|حدثنا أبو بكر قال حدثنا بن أبي زائدة عبد الملك عن عطاء قال لا تجوز شهادة الصغار حتى يكبروا
hadith|21043|حدثنا أبو بكر قال حدثنا بن أبي زائدة عن أبي سهل عن عامر قال كان لا يجيز شهادة الصبيان
hadith|21044|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا سفيان عن الزبير بن عدي عن سليمان الهمداني قال شهدت عند شريح وأنا غلام فقال بإصبعه في بعض جسدي حتى تبلغ
hadith|21045|حدثنا أبو بكر قال حدثنا وكيع قال شهدت عند بن أبي ليلى صبيانا من الحي لم يبلغوا فقال اكتب شهد فلان وفلان وهم صغار ولم يبلغوا فإذا بلغوا فإن ثبتوا على شهادتهم جازت وإن رجعوا فليس بشيء
hadith|21046|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا إسرائيل عن عيسى بن أبي عزة عن الشعبي أنه كان يجيز شهادة الصبيان ويرسل إليهم فيسألهم عنها
hadith|21047|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا سفيان عن أبي إسحاق عن شريح أنه أجاز شهادة غلمان في آمة وقضى فيها بأربعة آلاف
hadith|21048|حدثنا أبو بكر قال حدثنا يحيى بن سعيد القطان عن عمرو عن الحسن عن علي أنه كان يجيز شهادة الصبيان بعضهم على بعض
chapter||125 ) في القصار والصباغ وغيره
hadith|21049|حدثنا أبو بكر قال حدثنا شريك عن هشام عن سماك عن عبيد بن الابرص أن عليا ضمن نجارا
hadith|21050|حدثنا أبو بكر قال حدثنا بن مبارك عن طلحة بن أبي سعيد قال سمعت بكير بن عبد الله بن الأشج يحدث عن عمر بن الخطاب ضمن الصناع الذين انتصبوا للناس في أعمالهم ما أهلكوا في أيديهم
hadith|21051|حدثنا أبو بكر قال حدثنا حاتم بن إسماعيل عن جعفر عن أبيه عن علي أنه كان يضمن القصار والصواغ وقال لا يصلح الناس إلا ذلك
hadith|21052|حدثنا أبو بكر قال حدثنا علي بن مسهر عن الشيباني عن علي بن الأقمر عن شريح أنه كان يضمن القصار وقال اعطه ثوبه أو شراءه
hadith|21053|حدثنا أبو بكر قال حدثنا غندر عن شعبة عن جابر عن الشعبي عن مسروق وشريح قال كانا يضمنان القصار وشراؤه يوم أخذه
hadith|21054|حدثنا أبو بكر قال حدثنا وكيع عن إسرائيل عن جابر عن عامر عن مسروق وشريح أنهما قالا في قصار خرق ثوبا يضمن قيمته ويأخذ ثوبه إليه
hadith|21055|حدثنا أبو بكر قال حدثنا عبد الأعلى عن يونس عن الحسن أنه قال في القصار إذا أفسد قال هو ضامن قال وكان لا يضمنه غرقا ولا حرقا ولا عدوا مكابرا
hadith|21056|حدثنا أبو بكر قال حدثنا عبد الله بن نمير عن الأعمش قال أمرني جار لي قصار يقال له ثابت سل إبراهيم عن رجل اعطى غلاما له ثوبا فضاع فسألته فقال أليس يعلم أنه غلام قلت نعم قال هو ضامن
hadith|21057|حدثنا أبو بكر قال حدثنا هشيم عن مغيرة قال سالت إبراهيم عن حائك مشى في غزل بعنقلة من نار فوقعت شرارة فأحرقت الغزل قال يضمن
hadith|21058|حدثنا أبو بكر قال حدثنا يحيى بن عبد الملك بن أبي غنية [ عن أبيه ] عن الحكم قال يضمن الصباغ والقصار وكل أجير مشترك
hadith|21059|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا سفيان عن جابر ومطرف عن عامر قال لا يضمن القصار إلا ما جنت يده
chapter||126 ) في الأمة تزعم أنها حرة
hadith|21060|حدثنا أبو بكر قال حدثنا سفيان بن عيينة عن أيوب بن موسى عن بن قسيط عن سليمان بن يسار أن أمة أتت قوما فغرتهم وزعمت أنها حرة فتزوجها رجل فولدت منه أولادا فوجدوها أمة فقضى عمر بقيمة أولادها في كل مغرور غرة
hadith|21061|حدثنا أبو بكر قال حدثنا عبد الأعلى عن سعيد عن قتادة عن خلاس أن أمة أتت طيا فزعمت أنها حرة فتزوجها رجل ثم إن سيدها ظهر عليها فقضى عثمان أنها وأولادها لسيدها وجعل لزوجها ما أدرك من متاعها وجعل فيهم السنة أو الملة في كل رأس رأسين
hadith|21062|حدثنا أبو بكر قال حدثنا يزيد بن هارون عن أشعث عن الشعبي قال سألته عن جارية أبقت من أرض إلى ارض اخرى فأتت قوما فزعمت أنها حرة فرغب فيها رجل فتزوجها فولدت أولادا ثم علموا أنها أمة فجاء مولاها فأخذها قال يأخذ المولى أمته ويفدي الاب أولاده بعد غرة
hadith|21063|حدثنا أبو بكر قال حدثنا الفضل بن دكين عن هشام بن سعد عن شيبة بن نصاح عن سعيد بن المسيب قال في كل ولد مغرور غرة
chapter||127 ) في الرجل يحجر على غلامه
hadith|21064|حدثنا أبو بكر قال حدثنا محمد بن أبي عدي عن صالح بن أبي الأحمر عن عباد بن سعيد أن عمر بن عبد العزيز قال من باع عبدا أو رجلا محجورا عليه فما له إتواء
hadith|21065|حدثنا أبو بكر قال حدثنا هشيم عن مغيرة عن إبراهيم قال إذا أتى أهل سوقه فأعلمهم أنه حجر عليه فليس لاحد ان يخالطه
hadith|21066|حدثنا أبو بكر قال حدثنا أبو أسامة عن هشام عن الحسن قال إذا حجر الرجل على عبده في أهل سوقه فلم يجز عليه
hadith|21067|حدثنا أبو بكر قال حدثنا هشيم عن بن عون عن بن سيرين أنه كان لا يرى في الحجر شيئا
hadith|21068|حدثنا أبو بكر قال حدثنا يحيى بن يمان عن محمد بن قيس عن بكار العتري أن رجلا حجر على غلام له فرفع إلى علي فقال كنت ترسله بدرهم يشتري به لحما قال نعم قال فاجعله مأذونا له
chapter||128 ) من كره الحجر على الحر ومن رخص فيه
hadith|21069|حدثنا أبو بكر قال حدثنا عبد الله بن إدريس عن شعبة عن مغيرة عن إبراهيم قال لا يحجر على حر
hadith|21070|حدثنا أبو بكر قال حدثنا بن فضيل عن حصين قال شهدت شريحا فأتاه رجل ومعه بن أخيه قد استعدى عليه فقال الرجل إن بن أخي يكثر السكر يعرض عليه بالشراب قال شريح أمسك عليه ماله وأنفق عليه بالمعروف قال وكان بن أخيه قد خرجت لحيته
hadith|21071|حدثنا أبو بكر قال حدثنا حفص عن حجاج عن عبد الملك بن المغيرة قال كتب نجدة إلى بن عباس يسأله عن الشيخ الكبير الذي قد ذهب عقله أو أنكر عقله فكتب إليه إذا ذهب عقله أو أنكر عقله حجر عليه
hadith|21072|حدثنا أبو بكر قال حدثنا بن أبي زائدة عن حجاج عن عطاء عن بن عباس نحوا منه
chapter||129 ) من كان يرد من الحمق
hadith|21073|حدثنا أبو بكر قال حدثنا هشيم عن علي بن عبد الأعلى عن أبيه عن شريح أنه كان يرد من الحمق الباب
hadith|21074|حدثنا أبو بكر قال حدثنا معتمر بن سليمان عن زيد بن أبي المعلى مولى لبني تميم قال شهدت إياس بن معاوية اختصم إليه في جارية فقال الرجل إني اشتريت من هذا جارية حمقاء قال ما أعلمه يرد من الحمق فقال إنه حمق كالجنون قال فقال لها بالفارسية تذكرين ليلة ولدتي قالت نعم قال فقال لها أي رجلين أطول قال فقالت أحد رجليها هذا فردها
hadith|21075|حدثنا أبو بكر قال حدثنا وكيع عن سفيان عن جابر عن عامر في الهوج قال لا يرد منه إلا أن يكون شيئا معروفا يعني حمقا معروفا
chapter||130 ) في الرجل يشتري الغلام فيجد به قرعا أو صلعا
hadith|21076|حدثنا أبو بكر قال حدثنا شريك عن شيخ من الزعافر عن مسروق أنه كان يرد من الصلع
hadith|21077|حدثنا أبو بكر قال حدثنا هشيم عن إسماعيل بن سالم عن الشعبي قال سمعته يحدث أن رجلا اشترى من رجل غلاما فلما انصرف به إذا به قرع فخاصم صاحبه إلى شريح قال فقال إني اشتريت من هذا هذا الغلام وبه قرع فانظر إلى قرعه فإن القرع لا يحدث قال فقال شريح لا أجمع أن أكون قاضيا وشاهدا أريه غيري ثم أئتني بهم فليشهدوا لك وإلا فيمينه بالله ما باعكاه وبه هذا القرع
chapter||131 ) في بيع صكاك الرزق
hadith|21078|حدثنا أبو بكر قال حدثنا عبد الأعلى بن عبد الأعلى عن معمر عن الزهري أن بن عمر وزيد بن ثابت كانا لا يريان بأسا بشرى الرزق إذا أخرجت القطوط وهي الصكاك ويقولون لا تبعه حتى تقبضه
hadith|21079|حدثنا أبو بكر قال حدثنا إسماعيل بن إبراهيم عن أيوب عن نافع قال نبئت أن حكيم بن حزام كان يشتري صكاك الرزق فنهى عمر أن يبيع حتى يقبض
hadith|21080|حدثنا أبو بكر قال حدثنا محمد بن بشر قال حدثنا عبيد الله عن نافع عن بن عمر عن عمر بنحوه
hadith|21081|حدثنا أبو بكر قال حدثنا بن أبي زائدة عن إسماعيل بن أبي خالد قال سئل عامر عن بيع الرزق فقال لا بأس به ولكن لا يبيعه حتى يقبضه
chapter||132 ) الرجل يكون بين الرجلين فيكاتب بعضهم
hadith|21082|حدثنا أبو بكر قال حدثنا عبد الله بن مبارك عن يعقوب بن القعقاع عن مطر عن الحسن في عبد بين ثلاثة كاتبه أحدهم قال يؤخذ منه ما أخذ منه فيقسم بين شركائه والعبد بينهم لا يجوز كتابته
hadith|21083|حدثنا أبو بكر قال حدثنا صفوان بن عيسى عن أنيس بن أبي يحيى قال سألت سعيد بن المسيب عن مكاتب كان بين ثلاثة قاطعه بعضهم وتمسك بعضهم بكتابته فلم يقاطعه ومات المكاتب وترك مالا كثيرا لمن يتركه قال فقال سعيد يشرى الذين تمسكوا بقية كتابتهم ثم يكون ما بقي منهم
hadith|21084|حدثنا أبو بكر قال حدثنا سهل بن يوسف عن شعبة قال سألت الحكم وحمادا عن عبد كان بين رجلين فكاتب أحدهما نصيبه فكرهه حماد ولم ير به الحكم بأسا
hadith|21085|حدثنا أبو بكر قال حدثنا بن أبي زائدة عن إسرائيل عن جابر عن عامر في رجل كاتب حصته من عبد قال إن علم أصحابه قبل أن يؤدي [ رده ] وإن أدى لم يرد
hadith|21086|حدثنا أبو بكر قال حدثنا بن أبي زائدة عن أبيه عن عامر في عبد بين ثلاثة فأعتقه رجلان منهم ثم توفي العبد وله مال قال يغرمان اللذان أعتقا للذي لم يعتق ثلث ثمنه ثم يقسم ميراثه على ثلاثة أسهم لكل رجل سهم
hadith|21087|حدثنا أبو بكر قال حدثنا هشيم عن يونس عن الحسن في عبد بين رجلين قال كان يكره أن يكاتبه احدهما إلا بأذن شريكه فإن فعل قاسمه الذي لم يكاتب كل شيء أخذ منه فإذا استكمل الذي كاتبه ما كاتبه عليه عتق وسعى في نصف قيمته الذي لم يكاتبه والولاء بينهما
chapter||133 ) في الرجل يموت وعليه دين إلى أجل
hadith|21088|حدثنا أبو بكر قال حدثنا إسماعيل بن علية عن الليث والشعبي وإبراهيم [ قالوا ] إذا مات الرجل وعليه دين إلى أجل فقد حل دينه
hadith|21089|حدثنا أبو بكر قال حدثنا إبن إدريس عن هشام عن الحسن وبن سيرين في الرجل يموت وعليه دين إلى أجل قال بن سيرين إذا اوثق الورثة لصاحب الحق فلهم أجل صاحبهم وقال الحسن إذا مات فقد حل دينه
hadith|21090|حدثنا أبو بكر قال حدثنا حفص عن أشعث عن الحسن وبن سيرين قال إذا مات الرجل وأفلس فقد حل ما عليه
hadith|21091|حدثنا أبو بكر قال حدثنا حفص عن أشعث عن الحكم وحماد عن إبراهيم قال إذا مات الرجل وأفلس فقد حل ما عليه
hadith|21092|حدثنا أبو بكر قال حدثنا روح بن عبادة عن بن أبي ذئب عن أبان بن عبد العزيز وبن شهاب وأبي بكر بن محمد وسعد بن إبراهيم كانوا يقضون في دينه إلى أجل
hadith|21093|حدثنا أبو بكر قال حدثنا وكيع عن سفيان عن أشعث عن الحسن عن شريح قال إذا أوثق الرجل فهو أجله
chapter||134 ) في الرجل يمنع البيع مما يكال فيرفع للظروف منه شيء
hadith|21094|حدثنا أبو بكر قال حدثنا حفص عن ليث عن طاوس أنه كان يكره بيع السمن وبيع الزيت ويرفع للظروف كذا وكذا ويقول لا إلا صبا أو وزنا
hadith|21095|حدثنا أبو بكر قال حدثنا بن علية عن بن عون عن محمد أنه كان يكره القطر قال بن عون القطر الرجل يبيع الرجل فيلقي للظروف شيئا من الوزن
hadith|21096|حدثنا أبو بكر قال حدثنا معتمر بن سليمان عن سلم بن أبي الذيال قال سألت بن سيرين عن الذي يبيع المتاع في البواش وقد جعلوا بينهم وزن الظروف شيئا معلوما قال يبيعه وزنا كله والظروف معه
hadith|21097|حدثنا أبو بكر قال حدثنا محمد بن يزيد عن أيوب أبي العلاء عن قتادة وأبي هاشم قالا في الرجل يشتري السمن والعسل على أن يدفع من الظروف كذا وكذا فزعموا أنه مكروه
hadith|21098|حدثنا أبو بكر قال حدثنا أبو داود عن عمران عن حماد قال سألت إبراهيم عن الأعرابي يجيء بالنحى من السمن ويبيعه ويلقي للنحى امنانا فقال لا بأس به
chapter||135 ) في الرجل يشتري من الرجل السلعة ويقول قد برئت اليك
hadith|21099|حدثنا أبو بكر قال حدثنا شريك عن عاصم بن عبيد الله عن عبد الله بن عامر بن ربيعة عن زيد بن ثابت أنه كان يرى البراءة من كل عيب جائزا
hadith|21100|حدثنا أبو بكر قال حدثنا عباد بن العوام عن يحيى بن سعيد عن سالم ان بن عمر باع غلاما له بثمانمائة قال فوجد به المشتري عيبا فخاصمه إلى عثمان فسأله عثمان فقال بعته بالبراءة فقال تحلف بالله لقد بعته وما به من عيب تعلمه فقال بعته بالبراءة وأبى أن يحلف فرده عثمان عليه فباعه بعد ذلك بألف وخمسمائة
hadith|21101|حدثنا أبو بكر قال حدثنا عبد السلام بن حرب عن مغيرة عن إبراهيم قال ما سمى من عيب برئ منه
hadith|21102|حدثنا أبو بكر قال حدثنا وكيع عن إسرائيل عن جابر عن عامر عن شريح قال إذا هو سمى برئ
hadith|21103|حدثنا أبو بكر قال حدثنا محمد بن أبي عدي عن بن عون عن بن سيرين في الرجل يبيع الدابة فيقول أبرئ من كذا أبرئ من كذا ابرئ من الجرد قال لا يبرأ إلا من شيء يسميه ويقر به
hadith|21104|حدثنا أبو بكر قال حدثنا حميد بن عبد الرحمن عن دينار قال قلت للحسن أبيع السلعة وأتبرأ من القروح والجروح والنفائغ ( 1 ) والباطن والظاهر فقال لا تبرأ حتى تقول في هذا العين كذا وهذا كذا وإلا رد عليك
hadith|21105|حدثنا أبو بكر قال حدثنا غندر عن بن جريج عن عطاء قال لا يبرأ من العيب حتى يسميه ويضع يديه عليه
hadith|21106|حدثنا أبو بكر قال حدثنا وكيع عن إسماعيل الازرق عن الشعبي قال إن سمى برئ وإن لم يضع يده على العيب
hadith|21107|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا سفيان عن منصور عن رجل عن شريح قال لايبرأ حتى يضع يديه على الداء
hadith|21108|حدثنا أبو بكر قال حدثنا سفيان عن مغيرة عن إبراهيم قال إذا قال ابيعك لحما على بارية ( 2 ) وبرئت مما أقلت الأرض قال إذ سمى برئ
chapter||136 ) من كره أن يستعمل الأجير حتى يبين له أجره
hadith|21109|حدثنا أبو بكر قال حدثنا وكيع عن سفيان عن حماد عن إبراهيم عن أبي هريرة وأبي سعيد قالا من استأجر اجيرا فليعلمه أجره
hadith|21110|حدثنا أبو بكر قال حدثنا عبد الرحمن بن مهدي عن سهل السراج عن الحسن قال قال عثمان من استأجر اجيرا فليبين له أجره
hadith|21111|حدثنا أبو بكر قال حدثنا حفص عن أشعث عن الحكم وحماد عن إبراهيم وبن سيرين أنهما كرها أن يستعمل الأجير حتى يبين له أجره
hadith|21112|حدثنا أبو بكر قال حدثنا محمد بن فضيل عن اشعث عن محمد أنه كره أن يستعمل الأجير ما لا يدري ما هو إلا أن يكون شيئا معلوما
hadith|21113|حدثنا أبو بكر قال حدثنا عبد الرحمن بن مهدي عن زمعة عن بن طاوس عن أبيه قال لا يستأجر الأجير إلا بأفراق معلومة
chapter||137 ) في الرجل يشتري الجارية فيظهر بها العيب
hadith|21114|حدثنا أبو بكر قال حدثنا أبو خالد الأحمر عن اشعث عن الحكم في الرجل يشتري الجارية فيقول البائع لا أدفعها إليك حتى تحيض فوضعت على يدي عدل فماتت فقال هي مال البائع
