collection||Sahih Muslim
hadith|1550c|Rapporté par Ibn Abbas رضي الله عنهما : Un hadith similaire a été transmis par Ibn Abbas رضي الله عنهما
hadith|1550d|Rapporté par Ibn Abbas رضي الله عنهما : Le Messager d’Allah ﷺ a dit : « Si l’un d’entre vous loue sa terre à son frère, c’est mieux pour lui que de recevoir telle ou telle chose (une part déterminée). » Ibn Abbas رضي الله عنهما a expliqué : « Il s’agit du Haql, et chez les Ansar, on appelle cela Muhaqala. »
hadith|1550e|Rapporté par Ibn Abbas رضي الله عنهما : Le Messager d’Allah ﷺ a dit : « Celui qui possède une terre, il vaut mieux pour lui de la prêter à son frère. »
book||
chapter||
hadith|1551a|
hadith|1551b|Rapporté par Ibn Umar رضي الله عنهما : Le Messager d’Allah ﷺ a confié la terre de Khaybar (à ses habitants) en échange d’une part de la récolte de fruits et de moisson, et il donnait aussi chaque année à ses épouses cent wasqs : quatre-vingts wasqs de dattes et vingt wasqs d’orge. Quand Omar est devenu calife, il a réparti les terres et les arbres de Khaybar, et a donné le choix aux épouses du Messager d’Allah ﷺ entre garder la terre et l’eau ou continuer à recevoir les wasqs chaque année. Elles ont eu des avis différents : certaines ont choisi la terre et l’eau, d’autres ont préféré les wasqs annuels. Aïcha et Hafsa faisaient partie de celles qui ont choisi la terre et l’eau
hadith|1551c|Rapporté par Abdullah b. Umar رضي الله عنهما : Le Messager d’Allah ﷺ a conclu un accord avec les habitants de Khaybar (pour la terre et les arbres) afin qu’ils donnent la moitié de la récolte de la terre et des arbres. Le reste du hadith est le même. Dans le hadith transmis par Ali b. Mushir, il n’est pas mentionné que Aïcha et Hafsa ont choisi la terre et l’eau, mais il a dit que Omar a donné le choix aux épouses du Messager d’Allah ﷺ pour que la terre leur soit attribuée, sans mentionner l’eau
hadith|1551d|Rapporté par Abdullah b. Umar رضي الله عنهما : Lorsque Khaybar a été conquise, les Juifs ont demandé au Messager d’Allah ﷺ de les laisser continuer à cultiver ces terres en échange de la moitié de la récolte de fruits et de céréales. Le Messager d’Allah ﷺ a dit : « Je vous laisserai ici aussi longtemps que nous le voudrons. » Le reste du hadith est identique, avec cette précision : « Les fruits seront partagés à parts égales pour la moitié de Khaybar. Et sur la moitié de la récolte de la terre, le Messager d’Allah ﷺ recevait un cinquième. »
hadith|1551e|Rapporté par Abdullah b. Umar رضي الله عنهما : Le Messager d’Allah ﷺ a rendu aux Juifs de Khaybar les palmiers-dattiers et les terres de Khaybar, à condition qu’ils les travaillent avec leurs propres moyens (semences, outils) et qu’ils donnent la moitié de la récolte au Messager d’Allah ﷺ
hadith|1551f|Rapporté par Ibn Umar رضي الله عنهما : Omar b. al-Khattab رضي الله عنه a expulsé les Juifs et les Chrétiens du territoire du Hijaz. Lorsque le Messager d’Allah ﷺ a conquis Khaybar, il avait l’intention d’en expulser les Juifs, car cette terre, une fois conquise, appartenait à Allah, à Son Messager ﷺ et aux musulmans. Les Juifs ont demandé au Messager d’Allah ﷺ de les laisser y rester à condition qu’ils la travaillent et reçoivent en échange la moitié des fruits. Le Messager d’Allah ﷺ a dit : « Nous vous laisserons ici tant que nous le voudrons. » Ils y sont donc restés jusqu’à ce que Omar les expulse vers Taima’ et Ariha (deux villages en Arabie, mais hors du Hijaz)
chapter||
hadith|1552a|
hadith|1552b|Rapporté par Jabir رضي الله عنه : Le Messager d’Allah ﷺ a rendu visite à Umm Mubashshir al-Ansariya dans son verger de palmiers-dattiers et lui a dit : « Qui a planté ces arbres ? Un musulman ou un non-musulman ? » Elle a répondu : « Un musulman, bien sûr. » Il a alors dit : « Chaque fois qu’un musulman plante ou cultive une terre, et que des gens, des animaux ou autre chose en mangent, cela devient une aumône pour lui. »
hadith|1552c|Rapporté par Jabir b. Abdullah رضي الله عنهما : J’ai entendu le Messager d’Allah ﷺ dire : « Chaque fois qu’un musulman plante ou cultive, il reçoit une récompense pour tout ce que les bêtes, les oiseaux ou autre chose mangent de cela. »
hadith|1552d|Rapporté par Jabir b. Abdullah رضي الله عنهما : Le Messager d’Allah ﷺ a visité le verger de Umm Ma’sud et a dit : « Umm Ma’bad, celui qui a planté cet arbre, est-ce un musulman ou un non-musulman ? » Elle a répondu : « Bien sûr, c’est un musulman. » Le Prophète ﷺ a alors dit : « Aucun musulman ne plante d’arbres dont les fruits sont mangés par des humains, des bêtes ou des oiseaux, sans que cela ne soit compté comme une aumône le Jour de la Résurrection. »
hadith|1552e|Rapporté par Abu Muawiya : Ce hadith a été transmis avec des mots légèrement différents
hadith|1553a|
hadith|1553b|Rapporté par Anas b. Malik رضي الله عنه : Le Messager d’Allah ﷺ a visité les palmiers-dattiers de Umm Mubashshir رضي الله عنها, une femme des Ansar, et a dit : « Qui a planté ce palmier ? Un musulman ou un non-croyant ? » Le reste du hadith est le même
chapter||
hadith|1554a|
hadith|1554b|Rapporté par Juraij : Un hadith similaire a été rapporté par la même chaîne de transmetteurs
hadith|1555a|
hadith|1555b|Rapporté par Anas b. Malik رضي الله عنه : Le Messager d’Allah ﷺ a interdit la vente des fruits avant qu’ils ne soient mûrs. (Les compagnons d’Anas ont demandé :) « Que veut dire “mûrs” ? » Il a répondu : « Cela veut dire qu’ils deviennent rouges. » Il a ajouté : « Quand Allah empêche la croissance des fruits, pourquoi la richesse de votre frère deviendrait-elle permise pour vous ? »
hadith|1555c|Rapporté par Anas رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Si Allah ne les fait pas mûrir, alors comment serait-il permis à l’un d’entre vous de prendre la richesse de son frère ? »
hadith|1554c|Rapporté par Jabir رضي الله عنه : Le Messager d’Allah ﷺ a ordonné de faire des réductions dans le paiement pour celui qui a subi un malheur
chapter||
hadith|1556a|
hadith|1556b|Rapporté par Bukair b. al-Ashajj : Ce hadith a été rapporté avec la même chaîne de transmetteurs
hadith|1557|Rapporté par Aïcha (la mère des croyants) رضي الله عنها : Le Messager d’Allah ﷺ a entendu les voix de deux personnes qui se disputaient à la porte ; leurs voix étaient fortes. L’un demandait une réduction et voulait que l’autre fasse preuve de clémence envers lui, mais l’autre disait : « Par Allah, je ne le ferai pas. » Le Messager d’Allah ﷺ est alors venu vers eux et a dit : « Où est celui qui jure par Allah qu’il ne fera pas le bien ? » Il a répondu : « Messager d’Allah, c’est moi. » Le Prophète ﷺ a dit : « Qu’il fasse ce qu’il veut. »
hadith|1558a|
hadith|1558b|Rapporté par un autre transmetteur : Ce hadith est rapporté par une autre chaîne avec une légère variation au début, mais le reste du récit est identique
hadith|1558c|Rapporté par Ka'b b. Malik : Il a réclamé le paiement de la dette qu’Ibn Abu Hadrad lui devait. Ce hadith est rapporté par une autre chaîne de transmetteurs avec ces mots : « Il devait recevoir un prêt d’Abdullah b. Hadrad al-Aslami. Il l’a rencontré et a insisté pour qu’il paie. Il y a eu une altercation entre eux, leurs voix sont devenues fortes. Le Messager d’Allah ﷺ est alors passé près d’eux et a dit : “Ô Ka'b”, et a fait un geste de la main pour indiquer la moitié. Ka'b a donc reçu la moitié de ce qu’il lui devait et a remis l’autre moitié. »
chapter||
hadith|1559a|
hadith|1559b|Rapporté par Yahya b. Sa'id : Ce hadith a été rapporté avec la même chaîne de transmetteurs (avec une légère variation dans les mots : « Chaque fois qu’un homme devient pauvre. »)
hadith|1559c|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit au sujet d’une personne devenue insolvable et dont l’objet acheté est retrouvé intact chez elle : « Cela appartient à celui qui l’a vendu. »
hadith|1559d|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Quand un homme devient insolvable et que le vendeur retrouve sa marchandise intacte chez lui, il a plus de droit de la récupérer que quiconque. »
hadith|1559e|Rapporté par Qatada : Ce hadith a été rapporté avec la même chaîne de transmetteurs (mais avec ce changement de mots : « Il a plus de droit de la récupérer que tout autre créancier. »)
hadith|1559f|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Quand un homme devient insolvable et que le vendeur retrouve sa marchandise intacte chez lui, il a plus de droit de la reprendre que quiconque. »
chapter||
hadith|1560a|
hadith|1560b|Rapporté par Hudhayfa : Un homme a rencontré son Seigneur (après la mort) et Allah lui a demandé : « Qu’as-tu fait de bien ? » Il a répondu : « Je n’ai rien fait de bien, sauf que j’étais riche et je réclamais aux gens le remboursement de mes dettes. J’acceptais ce que les personnes solvables pouvaient donner et j’effaçais la dette des insolvables. » Allah a alors dit : « Ignorez les fautes de Mon serviteur. » Abu Mas'ud رضي الله عنه a dit : « C’est ce que j’ai entendu du Messager d’Allah ﷺ. »
hadith|1560c|Rapporté par Hudhayfa رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Un homme est mort et il est entré au Paradis. On lui a demandé : “Qu’as-tu fait ?” (Soit il s’en est souvenu lui-même, soit on le lui a rappelé.) Il a répondu : “Je faisais des affaires avec les gens, j’accordais du temps à ceux qui ne pouvaient pas payer et je n’étais pas strict pour accepter une pièce ou demander un paiement en espèces.” (Pour ces actes), il a été pardonné. Abu Mas'ud a dit : « J’ai entendu cela du Messager d’Allah ﷺ. »
hadith|1560d|Rapporté par Hudhayfa رضي الله عنه : Un serviteur parmi les serviteurs d’Allah a été présenté à Allah, qui l’avait comblé de richesses. Allah lui a demandé : « Qu’as-tu fait dans le monde ? » (Ils ne peuvent rien cacher à Allah.) Il a répondu : « Ô mon Seigneur, Tu m’as donné Tes richesses. J’ai fait des affaires avec les gens. J’étais naturellement indulgent avec mes débiteurs, je faisais preuve de clémence envers les solvables et j’accordais du temps aux insolvables. » Allah a alors dit : « J’ai plus de droit que toi d’agir ainsi envers Mon serviteur. » ‘Uqba b. ‘Amir al-Juhani et Abu Mas'ud ont dit : « C’est ce que nous avons entendu du Messager d’Allah ﷺ. »
hadith|1561|Rapporté par Abu Mas'ud رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Un homme parmi les peuples avant vous a été interrogé (par Allah au Jour du Jugement), et aucun bien n’a été trouvé dans ses comptes, sauf ceci : il était riche et avait des transactions financières avec les gens, et il ordonnait à ses employés d’être indulgents envers ceux qui étaient en difficulté. » Allah, le Très-Haut et Majestueux, a dit : « Nous avons plus de droit à cela, alors pardonnez-lui ses fautes. »
hadith|1562a|
hadith|1562b|Rapporté par Abu Huraira رضي الله عنه : Un hadith similaire a été rapporté
hadith|1563a|
hadith|1563b|Rapporté par Ayyoub : Ce hadith a été rapporté avec la même chaîne de transmetteurs
chapter||
hadith|1564a|
hadith|1564b|Rapporté par Abu Huraira رضي الله عنه : Un hadith semblable a été transmis
chapter||
hadith|1565a|
hadith|1565b|Rapporté par Jabir b. 'Abdullah رضي الله عنه : Le Messager d’Allah ﷺ a interdit de louer un chameau pour couvrir une chamelle, ainsi que de vendre de l’eau ou des terres à cultiver. Le Messager d’Allah ﷺ a donc interdit tout cela
hadith|1566a|
hadith|1566b|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Ne retenez pas l’excédent d’eau, afin de ne pas empêcher la pousse de l’herbe. »
hadith|1566c|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Il ne faut pas vendre l’excédent d’eau pour permettre la pousse de l’herbe. »
chapter||
hadith|1567a|
hadith|1567b|Rapporté par Abu Mas'ud رضي الله عنه : Un hadith similaire a été rapporté par une autre chaîne de transmetteurs
hadith|1568a|
hadith|1568b|Rapporté par Rafi b. Khadij رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Le prix d’un chien est mauvais, le gain d’une prostituée est mauvais et le salaire d’un ventouseur est mauvais. »
hadith|1568c|Rapporté par Rafi' b. Khadij رضي الله عنه : Un hadith similaire a été rapporté par une autre chaîne de transmetteurs
hadith|1568d|Rapporté par Rafi' b. Khadij رضي الله عنه : Un hadith similaire a été rapporté par une autre chaîne de transmetteurs
hadith|1569|Rapporté par Abu Zubair : J’ai demandé à Jabir au sujet du prix d’un chien et d’un chat ; il a répondu : « Le Messager d’Allah ﷺ a désapprouvé cela. »
chapter||
hadith|1570a|
hadith|1570b|Rapporté par Ibn 'Umar رضي الله عنهما : Le Messager d’Allah ﷺ a ordonné de tuer les chiens, et il a envoyé des hommes aux coins de Médine pour qu’ils les tuent
hadith|1570c|Rapporté par Abdullah (b. Umar) رضي الله عنهما : Le Messager d’Allah ﷺ a ordonné de tuer les chiens, et nous envoyions des hommes à Médine et dans ses environs, et nous ne laissions aucun chien sans le tuer, au point que nous avons tué le chien qui accompagnait la chamelle en lactation des gens du désert
hadith|1571|Rapporté par Ibn 'Umar رضي الله عنهما : Le Messager d’Allah ﷺ a ordonné de tuer les chiens, sauf ceux dressés pour la chasse ou pour garder les troupeaux ou d’autres animaux domestiques. On a dit à Ibn 'Umar رضي الله عنهما qu’Abu Huraira رضي الله عنه parlait aussi du chien gardant les champs, et il répondit : « C’est parce qu’Abu Huraira رضي الله عنه possédait des terres. »
hadith|1572|Rapporté par Abu Zubair, qui a entendu Jabir b. 'Abdullah رضي الله عنه dire : Le Messager d’Allah ﷺ nous a ordonné de tuer les chiens, et nous avons appliqué cet ordre au point de tuer même le chien qui accompagnait une femme du désert. Ensuite, le Messager d’Allah ﷺ a interdit de les tuer. Il a ajouté : « Occupez-vous du chien noir au pelage luisant avec deux taches blanches au niveau des yeux, car c’est un diable. »
hadith|1573a|
hadith|1573b|Rapporté par Yahya : Dans le hadith transmis par Yahya, le Prophète ﷺ a permis de garder des chiens pour la protection des troupeaux, pour la chasse et pour la surveillance des terres cultivées
hadith|1574a|
hadith|1574b|Rapporté par Salim, d’après son père : Le Messager d’Allah ﷺ a dit : « Celui qui garde un chien, sauf pour la chasse ou la garde des troupeaux, perd chaque jour deux qirat de sa récompense. »
hadith|1574c|Rapporté par Ibn 'Umar رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Celui qui garde un chien, sauf pour la chasse ou la garde des troupeaux, perd chaque jour deux qirat de ses bonnes actions. »
hadith|1574d|Rapporté par Salim b. 'Abdullah, d’après son père : Le Messager d’Allah ﷺ a dit : « Celui qui garde un chien, sauf pour la garde des troupeaux ou pour la chasse, perd chaque jour deux qirat de ses bonnes actions. » 'Abdullah et Abu Huraira ont aussi dit : « Ou un chien pour la garde des champs. »
hadith|1574e|Rapporté par Salim, d’après son père رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Celui qui garde un chien, sauf pour la chasse ou la protection des troupeaux, perd chaque jour deux qirat de ses bonnes actions. » Salim a ajouté : Abu Huraira رضي الله عنه disait aussi : « Ou le chien pour la garde des champs », car il possédait des terres
hadith|1574f|Rapporté par Salim b. Abdullah, d’après son père : Le Messager d’Allah ﷺ a dit : « Quiconque parmi les propriétaires de maison garde un chien, sauf pour la garde des troupeaux ou pour la chasse, perd chaque jour deux qirat de ses bonnes actions. »
hadith|1574g|Rapporté par Ibn 'Umar رضي الله عنهما : Le Messager d’Allah ﷺ a dit : « Celui qui garde un chien, sauf pour la garde des champs, des troupeaux ou pour la chasse, perd chaque jour une qirat de sa récompense auprès d’Allah. »
hadith|1575a|
hadith|1575b|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Celui qui garde un chien, sauf s’il est destiné à la garde du troupeau, à la chasse ou à la surveillance des champs, perd chaque jour deux qirat de récompense. » Zuhri a dit : Les paroles d’Abu Huraira رضي الله عنه ont été rapportées à Ibn Umar, qui a dit : « Qu’Allah fasse miséricorde à Abu Huraira ; il possédait un champ. »
hadith|1575c|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Celui qui garde un chien perdra chaque jour une part équivalente à un qirat de ses bonnes actions, sauf s’il le garde pour surveiller un champ ou un troupeau. »
hadith|1575d|Rapporté par Abu Huraira رضي الله عنه : Un hadith similaire a été transmis par Abu Huraira
hadith|1575e|Rapporté par Yahya b. Abu Kathir : Ce hadith a été rapporté avec la même chaîne de transmetteurs
hadith|1575f|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Celui qui garde un chien, sauf s’il est destiné à la chasse ou à la garde du troupeau, perd chaque jour un qirat de récompense. »
hadith|1576a|
hadith|1576b|Rapporté par Sufyan b. Abu Zuhair al-Shana’i : Ce hadith a été rapporté par Sufyan b. Abu Zuhair al-Shana’i
chapter||
hadith|1577a|
hadith|1577b|Rapporté par Rumaid : Anas b. Malik رضي الله عنه a été interrogé au sujet du revenu d’un praticien de la saignée. Ensuite, le hadith précédent a été rapporté, avec en plus cette parole : « Le meilleur traitement que vous puissiez recevoir, c’est la saignée, ou le bois d’aloès. Et ne faites pas souffrir vos enfants en leur pressant la luette. »
hadith|1577c|Rapporté par Humaid : Anas رضي الله عنه a dit : Le Messager d’Allah ﷺ a fait venir un jeune praticien de la saignée de chez nous. Il lui a fait une saignée et a ordonné qu’on lui donne un sa’, ou un mudd, ou deux mudds de blé. On a dit que le prix était élevé, alors une réduction a été faite
hadith|1202b|Rapporté par Ibn Abbas رضي الله عنهما : Le Messager d’Allah ﷺ s’est fait faire une saignée et il a payé le praticien, puis il a mis un médicament dans ses narines
hadith|1202c|Rapporté par Ibn Abbas رضي الله عنهما : L’esclave des Banu Bayada a fait une saignée au Messager d’Allah ﷺ, qui lui a donné son salaire, puis il a parlé à son maître et celui-ci a réduit le prix. Si ce revenu avait été interdit, le Messager d’Allah ﷺ ne l’aurait pas donné
chapter||
hadith|1578|Rapporté par Abu Sa’id al-Khudri رضي الله عنه : J’ai entendu le Messager d’Allah ﷺ s’adresser aux gens à Médine. Il a dit : « Ô gens, Allah donne un signe concernant l’interdiction du vin, et il va probablement bientôt donner un ordre à ce sujet. Celui qui en possède doit le vendre et en tirer profit. » Nous avons attendu quelque temps, puis le Messager d’Allah ﷺ a dit : « En vérité, Allah, le Très-Haut, a interdit le vin. Celui qui entend ce verset et en possède, qu’il n’en boive pas et ne le vende pas. » Les gens ont alors apporté ce qu’ils avaient de vin dans les rues de Médine et l’ont versé
hadith|1579a|
hadith|1579b|Rapporté par ‘Abd al-Rahman b. Wa’ala : Ce hadith a été rapporté par ‘Abdullah b. Abbas
hadith|1580a|
hadith|1580b|Rapporté par Aïsha (la mère des croyants) رضي الله عنها : Lorsque les derniers versets de la sourate al-Baqara concernant l’usure (riba) ont été révélés, le Messager d’Allah ﷺ est sorti à la mosquée et il a interdit le commerce du vin
chapter||
hadith|1581a|
hadith|1581b|Rapporté par Yazid b. Abu Habib : ‘Ata’ m’a rapporté avoir entendu Jabir b. ‘Abdullah dire qu’il avait entendu cela du Messager d’Allah ﷺ l’année de la Victoire
hadith|1582a|
hadith|1582b|Rapporté par ‘Amr b. Dinar : Ce hadith a été rapporté avec la même chaîne de transmetteurs
hadith|1583a|
hadith|1583b|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Qu’Allah détruise les Juifs, car Allah leur a interdit la graisse, mais ils l’ont vendue et ont profité de son prix. »
chapter||
hadith|1584a|
hadith|1584b|Rapporté par Nafi’ : Ibn ‘Umar lui a dit qu’une personne de la tribu de Laith a affirmé qu’Abu Sa’id al-Khudri avait rapporté ce hadith du Messager d’Allah ﷺ dans une version de Qutaiba. ‘Abduliali et Nafi’ l’accompagnèrent, et dans la version transmise par Ibn Rumh, Nafi’ a dit : « ‘Abdullah (ibn ‘Umar) est allé, et moi, avec l’homme des Banu Laith, nous sommes entrés chez Sa’id al-Khudri. ‘Abdullah ibn ‘Umar lui dit : On m’a rapporté que tu dis que le Messager d’Allah ﷺ a interdit de vendre de l’argent contre de l’argent sauf si c’est de même valeur, et de l’or contre de l’or sauf si c’est de même valeur. » Abu Sa’id montra ses yeux et ses oreilles avec ses doigts et dit : « Mes yeux ont vu et mes oreilles ont entendu le Messager d’Allah ﷺ dire : “Ne vendez pas de l’or contre de l’or, ni de l’argent contre de l’argent, sauf si c’est de même valeur, et n’ajoutez rien à l’un ou à l’autre, et ne vendez pas ce qui n’est pas présent contre de l’argent comptant, mais seulement de main à main.” »
hadith|1584c|Rapporté par Abu Sa’id al-Khudri رضي الله عنه : Ce hadith a aussi été rapporté par une autre chaîne de transmission
hadith|1584d|Rapporté par Abu Sa’id al-Khudri رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Ne vendez pas de l’or contre de l’or ni de l’argent contre de l’argent, sauf si c’est du même poids ou de la même qualité. »
hadith|1585|Rapporté par ‘Uthman ibn ‘Affan رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Ne vendez pas un dinar contre deux dinars, ni un dirham contre deux dirhams. »
chapter||
hadith|1586a|
hadith|1586b|Rapporté par Zuhri : Ce hadith a été rapporté avec la même chaîne de transmission
hadith|1587a|
hadith|1587b|Rapporté par Abi Qilabah : Ce hadith a également été rapporté par une autre chaîne de transmission
hadith|1587c|Rapporté par ‘Ubada ibn al-Samit رضي الله عنه : Le Messager d’Allah ﷺ a dit : « L’or contre l’or, l’argent contre l’argent, le blé contre le blé, l’orge contre l’orge, les dattes contre les dattes et le sel contre le sel, doivent être échangés de même valeur, de même quantité, et de main à main. Si les catégories diffèrent, alors vendez comme vous le souhaitez, à condition que le paiement soit fait sur place. »
hadith|1584e|Rapporté par Abu Sa’id al-Khudri رضي الله عنه : Le Messager d’Allah ﷺ a dit : « L’or contre l’or, l’argent contre l’argent, le blé contre le blé, l’orge contre l’orge, les dattes contre les dattes, le sel contre le sel, doivent être échangés de même valeur et de main à main. Celui qui ajoute ou demande un supplément pratique l’usure. Celui qui reçoit et celui qui donne sont aussi coupables l’un que l’autre. »
hadith|1584f|Rapporté par Abu Sa’id al-Khudri رضي الله عنه : Ce hadith a aussi été rapporté par une autre chaîne de transmission
hadith|1588a|
hadith|1588b|Rapporté par Fudail ibn Ghazwan : Ce hadith a été rapporté avec la même chaîne de transmission, mais il n’a pas mentionné que le paiement devait être immédiat
hadith|1588c|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « L’or contre l’or doit être échangé avec un poids égal, de même valeur ; l’argent contre l’argent doit aussi être échangé avec un poids égal, de même valeur. Celui qui ajoute ou demande un supplément pratique l’usure. »
hadith|1588d|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Échangez un dinar contre un dinar, sans supplément d’un côté ou de l’autre, et un dirham contre un dirham, sans supplément d’un côté ou de l’autre. »
hadith|1588e|Rapporté par Musa ibn Abu Tamim : Ce hadith a été rapporté avec la même chaîne de transmission
chapter||
hadith|1589a|
hadith|1589b|Rapporté par Habib : Il a entendu Abu Minhal dire : « J’ai demandé à al-Bara’ ibn ‘Azib au sujet de l’échange (d’or contre de l’argent ou l’inverse). Il m’a répondu : “Va demander à Zayd ibn Arqam, il en sait plus que moi.” Je suis donc allé voir Zayd, mais il m’a dit : “Va demander à al-Bara’, il en sait plus que moi.” Puis tous deux ont dit : “Le Messager d’Allah ﷺ a interdit la vente d’argent contre de l’or quand le paiement doit être différé.” »
hadith|1590a|
hadith|1590b|Rapporté par Abd al-Rahman ibn Abi Bakra : Le Messager d’Allah ﷺ nous a interdit cela. Le reste du hadith est le même
chapter||
hadith|1591a|
hadith|1591b|Rapporté par Fadala ibn Ubaid رضي الله عنه : Le jour de la victoire de Khaybar, j’ai acheté un collier pour douze dinars (pièces d’or). Il était en or avec des pierres précieuses. J’ai séparé l’or des pierres et j’ai trouvé que l’or valait plus que douze dinars. J’en ai parlé au Messager d’Allah ﷺ, qui a dit : « Il ne faut pas le vendre tant qu’il n’a pas été séparé. »
hadith|1591c|Rapporté par Sa’id ibn Yazid : Un hadith similaire a été rapporté avec la même chaîne de transmission
hadith|1591d|Rapporté par Fadala ibn Ubaid : Nous étions avec le Messager d’Allah ﷺ le jour de la victoire de Khaybar et nous avons fait une transaction avec les Juifs pour une ‘uqiya d’or contre des dinars ou trois pièces d’or. Le Messager d’Allah ﷺ a dit : « Ne vendez pas de l’or contre de l’or, sauf pour un poids égal. »
hadith|1591e|Rapporté par Hanash : Nous étions avec Fadala ibn Ubaid رضي الله عنه lors d’une expédition. Un collier en or, argent et pierres précieuses est tombé dans notre lot à moi et à mon ami. J’ai voulu l’acheter. J’ai demandé conseil à Fadala ibn Ubaid, qui m’a dit : « Sépare l’or et mets-le sur un plateau de la balance, et mets ton or sur l’autre plateau. N’accepte que l’égalité parfaite, car j’ai entendu le Messager d’Allah ﷺ dire : “Celui qui croit en Allah et au Jour dernier ne doit accepter que l’égalité parfaite.” »
chapter||
hadith|1592|Rapporté par Ma'mar b. Abdullah : Il a envoyé son esclave avec un sa‘ de blé en lui disant : « Vends-le et achète de l’orge avec cet argent. » L’esclave est parti et il a obtenu un sa‘ d’orge, plus une partie supplémentaire. Quand il est revenu, il a informé Ma‘mar de ce qu’il avait fait. Ma‘mar lui a alors dit : « Pourquoi as-tu fait cela ? Retourne et rends ce surplus, et n’accepte que quantité pour quantité, car j’ai entendu le Messager d’Allah ﷺ dire : “Blé contre blé, et de même quantité.” » (Un des rapporteurs précise : À cette époque, notre nourriture principale était l’orge.) On lui a dit que le blé n’était pas exactement comme l’orge. Il a répondu : « J’ai peur que cela ne soit pas équivalent. »
hadith|1593a|
hadith|1593b|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a envoyé quelqu’un pour collecter l’impôt à Khaybar. Il a rapporté des dattes de très bonne qualité. Le Messager d’Allah ﷺ lui a dit : « Toutes les dattes de Khaybar sont-elles comme cela ? » Il répondit : « Non. Nous obtenons un sa‘ de bonnes dattes contre deux sa‘s de dattes ordinaires, ou deux sa‘s contre trois sa‘s. » Le Messager d’Allah ﷺ a dit : « Ne faites pas cela. Vendez plutôt les dattes ordinaires contre des dirhams, puis achetez les meilleures dattes avec cet argent. »
hadith|1594a|
hadith|1594b|Rapporté par Abu Sa‘id رضي الله عنه : On a apporté des dattes au Messager d’Allah ﷺ, et il a dit : « Ces dattes ne sont pas comme les nôtres. » Un homme a alors dit : « Nous avons vendu deux sa‘s de nos dattes pour obtenir un sa‘ de ces bonnes dattes. » Le Messager d’Allah ﷺ a dit : « C’est de l’intérêt. Rendez ces bonnes dattes, reprenez les vôtres, puis vendez nos dattes (pour de l’argent) et achetez pour nous des dattes de cette qualité avec cet argent. »
hadith|1595|Rapporté par Abu Sa‘id رضي الله عنه : Du vivant du Messager d’Allah ﷺ, on nous donnait à manger des dattes de différentes qualités mélangées, et nous avions l’habitude de vendre deux sa‘s de ce mélange contre un sa‘ de bonnes dattes. Cela est parvenu au Messager d’Allah ﷺ, qui a dit : « Il ne faut pas échanger deux sa‘s de dattes ordinaires contre un sa‘ de bonnes dattes, ni deux sa‘s de blé ordinaire contre un sa‘ de bon blé, ni un dirham contre deux dirhams. »
hadith|1594c|Rapporté par Abu Nadra : J’ai demandé à Ibn Abbas رضي الله عنهما au sujet de l’échange d’or contre de l’argent ou d’argent contre de l’or. Nous avons dit : « Est-ce un échange main à main ? » J’ai dit : « Oui. » Il a répondu : « Il n’y a pas de mal à cela. » J’ai informé Abu Sa‘id de cela, en lui disant que j’avais posé la question à Ibn Abbas et qu’il avait répondu : « Est-ce un échange main à main ? » J’ai dit : « Oui. » Il a répondu : « Il n’y a pas de mal à cela. » Il (le rapporteur) a dit, ou quelque chose de similaire : « Nous allons bientôt lui écrire, et il ne te donnera pas cette fatwa. » Il a dit : « Par Allah, un des jeunes serviteurs du Messager d’Allah ﷺ a apporté des dattes, mais il a refusé de les accepter car elles ne semblaient pas être de notre région. Il a dit : “Quelque chose est arrivé à nos dattes.” J’ai donc obtenu ces dattes en donnant un surplus de nos dattes. » Il a dit : « Tu as ajouté pour obtenir de meilleures dattes, ce qui est de l’intérêt. Ne fais plus cela. Si tu as un doute sur la qualité de tes dattes, vends-les, puis achète celles que tu préfères. »
